step,bear_target,bear_other,w_cmd,on_target
1,16.5,-15.7,0.033,0
2,16.4,-15.8,0.032,0
3,15.8,-15.9,0.040,1
4,14.8,-16.0,0.105,1
5,13.9,-15.4,0.100,1
6,13.1,-14.8,0.061,1
7,12.3,-14.3,0.052,1
8,11.7,-14.1,0.066,1
9,11.6,-14.2,0.052,1
10,11.5,-14.3,0.051,1
11,11.5,-14.4,0.051,1
12,11.5,-14.4,-0.042,1
13,11.4,-14.4,-0.081,1
14,11.4,-14.4,-0.080,1
15,11.5,-14.4,-0.102,1
16,11.6,-14.3,-0.119,1
17,11.7,-14.2,-0.087,1
18,12.1,-14.4,-0.019,1
19,12.5,-14.6,-0.017,1
20,12.7,-14.7,-0.021,1
21,12.7,-14.9,-0.028,1
22,12.8,-14.8,-0.045,1
23,12.8,-14.8,-0.030,1
24,13.2,-14.9,-0.066,1
25,13.5,-15.1,-0.087,1
26,13.6,-15.3,-0.051,1
27,13.7,-15.3,-0.054,1
28,13.7,-15.3,-0.086,1
29,14.1,-15.4,-0.006,1
30,14.5,-15.6,0.098,1
31,14.6,-15.7,0.103,1
32,14.5,-15.7,0.093,1
33,14.7,-16.0,0.120,1
34,14.9,-16.3,0.038,1
35,14.9,-16.4,0.033,1
36,15.2,-16.5,-0.017,1
37,15.5,-16.6,-0.078,1
38,15.7,-16.6,0.042,1
39,16.3,-16.6,0.142,1
40,16.6,-16.6,0.109,1
41,17.1,-16.9,0.103,0
42,17.5,-17.3,0.168,0
43,17.7,-17.6,0.111,0
44,18.0,-18.1,0.231,1
45,18.1,-18.2,0.255,1
46,18.2,-18.7,0.245,1
47,18.3,-19.6,0.250,1
48,18.3,-20.5,0.130,1
49,18.1,-21.6,0.105,1
50,17.7,-22.7,0.088,1
51,17.5,-23.8,0.087,1
52,17.0,-25.1,0.200,1
53,16.5,-26.5,0.196,1
54,15.6,-28.1,0.205,1
55,14.5,-29.8,0.202,1
56,13.4,-31.5,0.199,1
57,11.9,-33.4,0.245,1
58,10.4,-35.2,0.223,1
59,8.7,-37.0,0.272,1
60,6.9,-38.9,0.258,1
61,5.1,-41.0,0.270,1
62,2.6,-43.6,0.150,1
63,1.0,-45.4,0.181,1
64,-0.5,-47.4,0.214,1
65,-2.1,-49.1,0.334,1
66,-3.9,-51.0,0.226,1
67,-6.2,-53.0,0.238,1
68,-8.0,-55.1,0.118,1
69,-9.9,-57.0,-0.002,1
70,-11.3,-58.8,-0.049,1
71,-12.6,-60.3,-0.101,1
72,-13.7,-61.9,-0.110,1
73,-14.8,-63.3,-0.157,1
74,-15.8,-64.7,-0.277,1
75,-16.7,-66.0,-0.397,1
76,-17.0,-67.0,-0.517,1
77,-17.2,-67.6,-0.533,1
78,-16.7,-67.8,-0.496,1
79,-16.5,-68.0,-0.443,1
80,-16.0,-68.2,-0.328,1
81,-16.0,-68.6,-0.363,1
82,-16.0,-69.4,-0.395,1
83,-16.2,-70.4,-0.349,1
84,-16.2,-70.9,-0.361,1
85,-16.6,-71.7,-0.370,1
86,-16.5,-72.5,-0.421,1
87,-16.7,-73.1,-0.426,1
88,-16.5,-73.7,-0.546,1
89,-16.5,-74.7,-0.600,1
90,-16.7,-75.4,-0.565,1
91,-16.6,-76.1,-0.590,1
92,-15.7,-75.7,-0.546,1
93,-15.0,-75.0,-0.599,1
94,-14.4,-74.3,-0.600,1
95,-13.6,-73.5,-0.600,1
96,-12.6,-72.4,-0.600,1
97,-11.6,-71.4,-0.600,1
98,-10.5,-70.3,-0.480,1
99,-9.1,-68.9,-0.360,1
100,-7.7,-67.5,-0.315,1
101,-7.0,-66.7,-0.313,1
102,-6.4,-66.2,-0.263,1
103,-5.9,-65.7,-0.315,1
104,-5.6,-65.3,-0.432,1
105,-5.3,-64.9,-0.500,1
106,-4.8,-64.3,-0.562,1
107,-4.2,-63.7,-0.600,1
108,-3.5,-62.9,-0.480,1
109,-2.6,-61.6,-0.360,1
110,-1.5,-60.6,-0.240,1
111,-0.6,-60.3,-0.120,1
112,-0.3,-60.3,-0.011,1
113,-0.0,-60.0,-0.069,1
114,0.0,-59.9,-0.107,1
115,0.1,-59.8,-0.160,1
116,0.3,-59.6,-0.195,1
117,0.3,-59.0,-0.226,1
118,0.5,-58.4,-0.106,1
119,1.2,-57.9,0.014,1
120,1.8,-57.9,0.080,1
121,2.0,-58.2,0.062,1
122,1.8,-58.3,-0.058,1
123,1.8,-58.4,-0.119,1
124,1.9,-58.2,-0.179,1
125,2.1,-58.1,-0.293,1
126,2.4,-57.7,-0.304,1
127,3.0,-57.2,-0.366,1
128,3.6,-56.5,-0.246,1
129,4.4,-55.7,-0.126,1
130,4.9,-55.1,-0.126,1
131,5.1,-54.9,-0.039,1
132,5.3,-54.7,-0.126,1
133,4.9,-54.6,-0.099,1
134,5.0,-54.5,-0.101,1
135,5.2,-54.3,-0.133,1
136,5.4,-54.1,-0.210,1
137,5.6,-53.8,-0.316,1
138,6.0,-53.5,-0.196,1
139,6.4,-53.0,-0.076,1
140,6.8,-51.9,0.044,1
141,6.9,-51.3,0.093,1
142,6.6,-50.9,0.036,1
143,6.0,-50.0,0.088,1
144,5.9,-49.2,0.147,1
145,6.1,-48.8,0.164,1
146,6.8,-49.0,0.111,1
147,7.2,-49.3,-0.009,1
148,7.0,-49.5,0.111,1
149,7.1,-49.5,0.185,1
