step,bear_target,bear_other,w_cmd,on_target
1,18.8,-18.0,0.120,0
2,18.9,-18.2,0.240,0
3,20.0,-19.7,0.360,0
4,20.4,-20.9,0.480,1
5,20.2,-22.4,0.600,1
6,19.7,-24.2,0.600,1
7,19.0,-26.2,0.480,1
8,18.2,-28.2,0.360,1
9,17.2,-30.1,0.240,1
10,17.0,-31.4,0.120,1
11,16.9,-32.1,0.022,1
12,17.0,-32.7,0.002,1
13,17.1,-33.0,-0.019,1
14,17.2,-33.2,-0.075,1
15,17.3,-33.1,-0.048,1
16,17.3,-33.0,-0.039,1
17,17.4,-32.8,-0.159,1
18,17.5,-32.8,-0.110,1
19,17.8,-32.7,-0.024,1
20,18.2,-32.5,-0.034,1
21,18.4,-32.6,-0.060,1
22,18.6,-32.8,-0.053,1
23,19.1,-32.8,-0.071,1
24,19.5,-32.9,-0.091,1
25,19.9,-33.1,-0.122,1
26,20.3,-33.3,-0.115,1
27,20.8,-33.5,0.005,1
28,21.3,-33.5,0.125,1
29,21.8,-33.6,0.217,1
30,22.0,-33.8,0.229,1
31,22.1,-34.0,0.251,1
32,22.1,-34.1,0.264,1
33,22.3,-33.9,0.264,1
34,22.5,-33.5,0.329,1
35,22.6,-33.0,0.314,1
36,22.7,-32.4,0.322,1
37,22.8,-31.7,0.286,1
38,23.2,-30.5,0.166,1
39,23.6,-29.2,0.046,1
40,24.2,-27.5,-0.074,1
41,25.0,-25.6,-0.194,1
42,26.1,-23.4,-0.311,0
43,27.4,-21.0,-0.320,0
44,28.8,-19.6,-0.340,0
45,30.4,-18.4,-0.220,0
46,32.2,-17.0,-0.184,0
47,33.9,-15.7,-0.064,0
48,35.5,-14.5,0.056,0
49,36.9,-13.4,0.176,0
50,37.9,-12.8,0.296,0
51,38.7,-12.5,0.416,0
52,39.4,-11.9,0.536,0
53,40.0,-11.7,0.600,0
54,40.4,-11.5,0.600,0
55,40.8,-11.6,0.582,0
56,41.0,-11.4,0.503,0
57,41.5,-11.2,0.600,0
58,41.9,-10.9,0.600,0
59,41.9,-11.5,0.600,0
60,41.6,-12.0,0.600,0
61,41.2,-12.6,0.600,0
62,41.0,-13.0,0.600,0
63,40.9,-13.4,0.600,0
64,41.0,-13.5,0.600,0
65,41.4,-13.4,0.600,0
66,42.0,-13.0,0.600,0
67,42.7,-12.6,0.600,0
68,43.4,-12.1,0.600,0
69,43.9,-12.2,0.600,0
70,44.5,-12.0,0.600,0
71,45.1,-11.7,0.600,0
72,45.9,-11.2,0.600,0
73,46.7,-10.7,0.600,0
74,47.4,-10.4,0.600,0
75,48.3,-9.8,0.600,0
76,49.2,-9.3,0.600,0
77,50.2,-8.7,0.600,0
78,51.1,-7.9,0.600,0
79,52.1,-7.3,0.600,0
80,53.1,-6.8,0.600,0
81,54.0,-6.3,0.600,0
82,54.9,-6.0,0.600,0
83,55.9,-5.2,0.600,0
84,56.8,-4.8,0.600,0
85,57.8,-4.1,0.600,0
86,58.8,-3.3,0.600,0
87,59.7,-2.7,0.500,0
88,60.7,-1.9,0.600,0
89,61.8,-1.1,0.600,0
90,62.8,-0.4,0.600,0
91,63.7,0.2,0.600,0
92,64.7,0.8,0.600,0
93,65.6,1.7,0.600,0
94,66.3,2.1,0.600,0
95,66.9,2.4,0.600,0
96,67.9,3.4,0.600,0
97,69.1,4.5,0.600,0
98,70.1,5.8,0.600,0
99,71.1,7.0,0.600,0
100,72.1,8.2,0.600,0
101,73.1,9.5,0.600,0
102,74.0,10.5,0.600,0
103,74.9,11.6,0.600,0
104,75.8,12.6,0.600,0
105,76.2,13.2,0.600,0
106,76.6,13.8,0.600,0
107,76.8,14.2,0.600,0
108,76.9,14.4,0.600,0
109,76.9,14.5,0.600,0
110,76.7,14.5,0.600,0
111,76.4,14.3,0.600,0
112,76.2,14.2,0.600,0
113,76.2,14.4,0.600,0
114,76.3,14.6,0.600,0
115,76.4,14.7,0.600,0
116,76.8,15.3,0.600,0
117,76.9,15.5,0.600,0
118,77.2,15.9,0.600,0
119,77.3,16.0,0.600,0
120,77.4,16.3,0.600,0
121,77.8,16.7,0.600,0
122,78.4,17.5,0.600,0
123,79.1,18.2,0.600,0
124,80.1,19.2,0.600,0
125,81.1,20.3,0.600,0
126,82.0,21.2,0.600,0
127,82.4,21.7,0.600,0
128,82.7,22.1,0.600,0
129,83.2,22.6,0.600,0
130,83.8,23.3,0.600,0
131,84.4,24.0,0.600,0
132,84.7,24.4,0.600,0
133,85.1,24.9,0.600,0
134,85.7,25.6,0.600,0
135,86.4,26.4,0.600,0
136,86.8,26.8,0.600,0
137,86.8,26.9,0.600,0
138,86.4,26.4,0.600,0
139,86.4,25.3,0.600,0
140,87.0,24.5,0.600,0
141,87.8,24.4,0.600,0
142,88.3,24.9,0.600,0
143,89.4,26.0,0.600,0
144,90.2,26.8,0.600,0
145,91.1,27.5,0.600,0
146,92.0,28.2,0.600,0
147,92.6,28.6,0.600,0
148,93.3,28.9,0.600,0
149,94.0,29.3,0.600,0
150,94.5,28.9,0.600,0
151,95.1,27.9,0.600,0
152,95.7,27.4,0.600,0
153,96.3,26.7,0.600,0
154,97.0,26.0,0.600,0
155,97.4,25.2,0.600,0
156,97.8,24.2,0.600,0
157,98.3,23.4,0.600,0
158,99.1,22.8,0.600,0
159,99.7,22.1,0.600,0
160,100.1,21.2,0.600,0
161,100.7,20.5,0.600,0
162,101.1,19.5,0.480,0
163,101.6,18.6,0.360,0
164,102.3,18.0,0.240,0
165,103.3,17.6,0.360,0
166,104.2,17.2,0.480,0
167,104.9,16.6,0.567,0
168,105.6,15.9,0.600,0
169,106.1,15.2,0.600,0
170,106.7,13.5,0.600,0
171,107.3,11.3,0.480,0
172,107.6,8.7,0.360,0
173,107.9,6.1,0.240,0
174,108.6,3.6,0.120,0
175,109.8,1.2,0.000,0
176,110.8,-0.4,-0.120,0
177,112.2,-2.1,-0.240,0
178,113.7,-3.7,-0.360,0
179,115.4,-5.2,-0.480,0
180,117.2,-6.5,-0.600,0
181,119.5,-7.4,-0.600,0
182,122.2,-8.0,-0.600,0
183,124.8,-8.6,-0.600,0
184,127.6,-9.0,-0.600,0
185,130.2,-9.7,-0.600,0
186,132.9,-10.3,-0.600,0
187,135.5,-11.0,-0.600,0
188,138.0,-11.8,-0.600,0
189,140.6,-12.5,-0.600,0
190,143.0,-13.3,-0.600,0
191,145.0,-14.6,-0.600,0
192,147.2,-15.6,-0.600,0
193,149.2,-16.8,-0.600,0
194,151.3,-17.9,-0.600,0
195,153.1,-19.2,-0.600,0
196,154.9,-20.5,-0.600,0
197,156.8,-21.8,-0.600,0
198,157.2,-23.0,-0.600,0
199,157.5,-24.3,-0.600,0
200,157.8,-25.6,-0.480,0
201,158.1,-26.8,-0.600,0
202,158.3,-28.1,-0.600,0
203,158.6,-29.3,-0.600,0
204,158.9,-30.3,-0.600,0
205,159.1,-31.5,-0.600,0
206,159.4,-32.6,-0.600,0
207,159.6,-33.6,-0.600,0
208,159.8,-34.2,-0.600,0
209,160.0,-34.0,-0.600,0
210,160.2,-33.8,-0.600,0
211,160.4,-33.6,-0.600,0
212,160.6,-33.5,-0.600,0
213,160.6,-33.3,-0.600,0
214,160.8,-33.1,-0.600,0
215,161.0,-32.9,-0.600,0
216,161.2,-32.7,-0.600,0
217,161.4,-32.5,-0.600,0
218,161.6,-32.3,-0.600,0
219,161.9,-32.2,-0.600,0
220,162.1,-32.0,-0.600,0
221,162.3,-31.8,-0.600,0
222,162.4,-31.6,-0.600,0
223,162.6,-31.4,-0.480,0
224,162.8,-31.3,-0.360,0
225,162.8,-31.1,-0.240,0
226,162.9,-31.0,-0.254,0
227,163.0,-31.0,-0.374,0
228,163.0,-30.9,-0.494,0
229,163.1,-30.9,-0.600,0
