step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip,pred_x1,pred_y1,pred_x2,pred_y2,pred_vis
1,-10.3,16.2,0.120,1,0.100,4.947,4.687,0,0.912,317.5,0,0,1,214.9,140.9,300.7,343.8,0.991
2,-9.8,16.1,0.154,1,0.200,4.965,4.686,0,0.905,318.2,0,0,1,230.3,139.2,309.8,348.2,0.992
3,-9.5,16.0,0.124,1,0.300,4.979,4.683,0,0.928,318.8,0,0,1,249.3,140.6,319.4,343.0,0.998
4,-9.7,15.3,0.089,1,0.400,4.991,4.672,0,0.929,318.5,0,0,1,259.2,138.3,330.5,344.6,0.991
5,-10.3,14.2,0.060,1,0.500,4.999,4.655,0,0.931,319.0,0,0,1,266.7,139.0,334.4,343.0,0.992
6,-11.7,12.5,0.021,1,0.600,5.001,4.630,0,0.921,318.8,0,0,1,271.1,136.1,355.0,343.5,0.995
7,-12.3,11.1,0.118,0,0.700,5.004,4.579,0,0.905,317.5,0,0,1,243.1,136.2,317.7,344.8,0.991
8,-13.6,9.0,0.128,0,0.800,5.007,4.507,0,0.874,318.8,0,0,1,239.6,129.5,329.7,351.6,0.991
9,-14.6,7.3,0.008,0,0.900,4.997,4.417,0,1.011,320.1,0,0,1,337.6,158.5,415.4,325.6,0.996
10,-15.7,5.7,-0.078,0,1.000,4.973,4.306,0,1.016,321.6,0,0,1,299.7,167.2,367.8,309.0,1.008
11,-16.8,4.2,0.042,0,1.000,4.944,4.189,0,1.068,323.4,0,0,0,250.3,160.9,315.3,308.9,0.996
12,-17.3,3.2,0.162,0,1.000,4.905,4.057,0,1.062,329.4,0,0,0,229.4,154.3,297.8,315.4,0.999
13,-18.0,2.1,0.094,0,1.000,4.844,3.887,0,1.043,334.6,0,0,0,252.9,153.8,317.5,314.9,0.994
14,-19.2,0.6,0.142,0,1.000,4.801,3.765,0,1.018,340.5,0,0,0,228.9,157.7,299.6,309.2,0.992
15,-20.7,-1.3,0.156,0,0.508,4.746,3.619,0,0.508,344.2,0,0,0,209.8,119.6,339.8,388.3,0.998
16,-21.7,-2.9,0.146,0,0.608,4.694,3.473,0,0.633,347.9,0,0,1,209.5,117.9,333.4,379.1,0.998
17,-22.5,-4.3,0.137,0,0.483,4.642,3.312,0,0.483,349.7,0,0,0,204.9,109.1,346.2,397.5,1.001
18,-22.8,-5.2,0.139,0,0.491,4.618,3.212,0,0.491,354.9,0,0,0,203.2,104.8,336.7,400.1,1.002
19,-23.0,-6.3,0.019,0,0.404,4.598,3.089,0,0.404,359.5,0,0,0,428.3,86.3,571.2,420.3,1.004
20,-23.0,-7.1,-0.101,0,0.467,4.587,3.006,0,0.467,364.3,0,0,0,373.4,95.1,495.3,412.2,0.990
21,-23.0,-8.1,-0.221,0,0.441,4.576,2.910,0,0.441,371.0,0,0,0,333.9,94.3,448.5,417.3,0.994
22,-23.0,-9.1,-0.244,0,0.408,4.564,2.816,0,0.408,376.8,0,0,0,329.8,93.3,451.0,422.5,0.996
23,-22.8,-10.1,-0.158,0,0.313,4.550,2.709,0,0.313,384.7,0,0,0,294.6,88.1,425.6,431.3,0.997
24,-22.6,-10.9,-0.038,0,0.341,4.540,2.636,0,0.341,395.8,0,0,0,251.7,90.1,377.0,429.5,0.995
25,-22.1,-11.7,0.082,0,0.441,4.531,2.553,0,0.454,408.2,0,0,1,137.0,92.6,285.5,434.2,1.002
26,-21.7,-12.6,0.202,0,0.448,4.520,2.475,0,0.448,421.2,0,0,0,99.4,90.4,242.7,437.0,0.998
27,-21.3,-13.8,0.322,0,0.410,4.499,2.396,0,0.410,434.6,0,0,0,83.9,79.3,238.3,449.5,1.003
28,-21.1,-15.4,0.442,0,0.434,4.470,2.318,0,0.434,448.9,0,0,0,62.2,75.6,211.9,455.0,0.998
29,-20.9,-17.2,0.322,0,0.266,4.436,2.245,0,0.266,462.8,0,0,0,-2.5,0.6,-1.1,-3.5,-0.007
30,-21.0,-19.8,0.202,0,0.000,4.390,2.167,0,0.287,475.5,1,0,0,-1.4,0.4,1.5,-2.3,-0.009
31,-21.0,-21.6,0.082,1,0.100,4.357,2.118,0,0.278,0.0,0,0,1,1.7,0.2,6.5,-0.4,-0.007
32,-20.7,-23.7,-0.038,1,0.200,4.331,2.078,0,0.292,0.0,0,0,1,2.1,0.6,6.6,-0.0,-0.005
