step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip,pred_x1,pred_y1,pred_x2,pred_y2,pred_vis
1,-15.5,14.6,-0.120,0,0.100,4.579,4.662,0,0.785,324.0,0,0,1,284.9,122.1,429.5,371.2,0.999
2,-14.9,14.6,-0.204,0,0.200,4.538,4.661,0,0.859,322.4,0,0,1,335.6,130.1,477.0,358.5,0.996
3,-14.8,13.8,-0.254,0,0.300,4.493,4.618,0,0.810,323.5,0,0,1,334.5,126.0,470.6,363.9,0.997
4,-15.1,12.9,-0.172,0,0.400,4.446,4.568,0,0.763,325.1,0,0,1,304.5,123.1,434.2,369.6,0.996
5,-15.7,11.6,-0.146,0,0.500,4.379,4.497,0,0.746,326.4,0,0,1,296.6,124.4,424.9,368.6,1.000
6,-16.7,10.1,-0.098,0,0.600,4.299,4.412,0,0.729,327.4,0,0,1,278.6,122.9,411.7,374.3,1.005
7,-18.0,8.5,-0.085,0,0.698,4.208,4.316,0,0.698,327.8,0,0,0,277.5,120.1,411.2,379.5,1.002
8,-19.4,6.9,-0.016,0,0.644,4.105,4.207,0,0.644,329.1,0,0,0,265.5,118.0,394.5,385.3,1.001
9,-21.2,5.2,-0.136,0,0.744,3.997,4.094,0,1.068,331.6,0,0,1,424.5,171.4,483.6,298.8,0.997
10,-22.8,3.8,-0.256,0,0.844,3.886,3.977,0,1.105,337.4,0,0,1,396.3,160.6,476.7,316.6,0.998
11,-24.4,2.7,-0.376,0,0.944,3.770,3.854,0,1.058,335.9,0,0,1,400.4,161.0,476.5,311.0,1.006
12,-25.9,2.0,-0.361,0,1.000,3.645,3.719,0,1.054,339.2,0,0,0,366.7,150.7,448.0,330.1,0.996
13,-27.9,1.1,-0.339,0,1.000,3.518,3.581,0,1.034,342.4,0,0,0,361.3,147.5,442.0,329.7,0.998
14,-30.4,-0.2,-0.219,0,0.961,3.389,3.440,0,0.961,342.2,0,0,0,310.5,134.7,413.3,348.3,0.998
15,-33.1,-1.1,-0.200,0,0.820,3.240,3.267,0,0.820,350.3,0,0,0,306.8,125.6,432.8,372.0,0.998
16,-35.0,-1.3,-0.106,0,0.765,3.118,3.121,0,0.765,355.2,0,0,0,272.6,118.6,400.5,370.2,0.997
17,-36.4,-1.1,-0.033,0,0.712,3.022,3.004,0,0.712,360.3,0,0,0,245.0,115.8,384.9,381.0,0.995
18,-38.3,-0.9,-0.022,0,0.558,2.897,2.849,0,0.558,367.2,0,0,0,238.9,107.0,400.4,390.4,0.999
19,-39.6,-0.7,0.098,0,0.351,2.812,2.744,0,0.351,376.5,0,0,0,4.8,0.1,4.5,-0.1,-0.014
20,-41.1,-0.4,0.218,0,-0.308,2.720,2.627,0,-0.308,385.5,0,0,0,7.5,0.4,6.9,-4.2,-0.002
21,-42.7,-0.1,0.338,0,-0.380,2.637,2.522,0,-0.380,400.2,0,0,0,7.9,0.2,4.6,-0.6,-0.005
22,-44.0,0.3,0.458,0,-0.455,2.568,2.437,0,-0.455,412.8,0,0,0,40.3,28.1,231.3,466.2,1.024
23,-45.1,0.9,0.578,0,-0.435,2.512,2.374,0,-0.435,421.4,0,0,0,4.9,0.6,6.4,-1.0,-0.002
24,-45.8,1.8,0.600,0,-0.431,2.464,2.327,0,-0.431,430.9,0,0,0,3.6,2.0,3.2,-0.6,-0.000
25,-46.1,2.5,0.600,0,-0.435,2.439,2.307,0,-0.435,439.9,0,0,0,2.7,1.3,2.7,-1.9,0.003
26,-46.3,3.4,0.600,0,-0.423,2.410,2.289,0,-0.423,449.5,0,0,0,4.2,1.5,4.1,-2.8,0.000
27,-46.4,4.4,0.600,0,-0.424,2.381,2.273,0,-0.424,454.4,0,0,0,4.2,1.7,4.9,-5.6,-0.007
28,-46.2,5.9,0.600,0,-0.421,2.347,2.255,0,-0.421,459.4,0,0,0,2.4,2.5,3.6,-6.1,-0.003
29,-45.8,7.3,0.600,0,0.100,2.320,2.241,0,0.305,460.7,0,0,1,1.8,-0.2,2.7,-1.0,-0.007
30,-45.4,8.9,0.600,0,-0.327,2.286,2.222,0,-0.327,463.4,0,0,0,5.4,0.4,1.7,-0.1,-0.008
31,-46.1,9.6,0.600,0,-0.350,2.246,2.196,0,-0.350,466.0,0,0,0,5.4,0.8,4.9,-1.3,-0.009
32,-47.2,9.9,0.600,0,-0.330,2.205,2.173,0,-0.330,474.1,0,0,0,4.5,0.8,3.8,-2.2,-0.004
33,-49.0,9.6,0.600,0,0.000,2.164,2.152,0,0.302,478.7,1,0,1,-1.6,-0.4,3.3,3.1,0.002
34,-51.6,8.4,0.600,0,-0.227,2.123,2.133,0,-0.227,480.0,0,0,0,0.3,0.7,0.8,-2.5,-0.007
35,-54.6,6.9,0.600,0,0.000,2.078,2.113,0,0.291,480.0,1,0,1,-3.5,-0.5,0.2,0.8,-0.006
36,-57.3,5.4,0.600,0,0.000,2.033,2.096,0,0.298,480.0,1,0,1,-0.1,0.5,3.2,-4.1,-0.004
37,-60.3,3.9,0.600,0,0.000,1.975,2.074,0,0.304,475.5,1,0,1,-2.4,0.2,2.5,-0.5,-0.004
38,-62.0,3.3,0.600,0,0.000,1.931,2.056,0,0.294,471.3,1,0,1,-0.6,0.5,1.7,-1.6,-0.003
39,-63.3,3.2,0.600,0,0.000,1.878,2.034,0,0.259,475.6,1,0,1,3.9,-0.8,4.6,-4.9,-0.015
40,-64.3,3.2,0.600,0,-0.324,1.825,2.013,0,-0.324,478.8,0,0,0,7.3,0.6,4.9,0.2,-0.009
41,-65.3,3.2,0.600,0,-0.382,1.767,1.993,0,-0.382,480.0,0,0,0,6.0,0.6,3.6,0.8,-0.013
42,-66.1,2.8,0.600,0,-0.404,1.729,1.984,0,-0.404,480.0,0,0,0,0.7,0.5,-2.7,-2.6,-0.012
43,-67.4,1.6,0.600,0,-0.339,1.688,1.981,0,-0.339,480.0,0,0,0,1.9,-0.3,-0.2,0.9,-0.011
44,-68.9,-0.2,0.600,0,0.000,1.653,1.982,0,0.315,480.0,1,0,1,0.1,-0.9,2.0,2.6,-0.000
45,-70.4,-2.3,0.600,0,0.000,1.624,1.986,0,0.299,480.0,1,0,1,0.3,-0.3,2.5,-0.5,-0.011
46,-71.7,-4.2,0.600,0,0.000,1.594,1.984,0,0.284,479.9,1,0,1,0.5,-0.1,-0.8,0.4,-0.010
47,-71.9,-4.8,0.600,0,0.000,1.574,1.976,0,0.319,480.0,1,0,1,0.3,1.0,-0.8,2.8,-0.000
48,-71.5,-4.9,0.600,0,0.000,1.562,1.969,0,0.351,479.5,1,0,1,0.5,0.2,3.3,0.9,-0.004
49,-70.9,-4.7,0.600,0,-0.107,1.555,1.959,0,-0.107,479.6,0,0,0,4.3,-1.7,3.1,1.8,-0.003
50,-69.7,-3.9,0.600,0,0.000,1.551,1.950,0,0.225,479.0,1,0,1,0.8,-0.5,3.1,0.0,-0.001
51,-68.1,-2.8,0.600,0,0.000,1.550,1.941,0,0.279,479.0,1,0,1,1.3,-0.6,2.5,2.5,-0.001
52,-66.5,-1.6,0.600,0,0.000,1.550,1.932,0,0.288,478.8,1,0,1,0.2,-0.7,0.9,1.7,-0.003
53,-65.2,-0.7,0.600,0,0.000,1.552,1.926,0,0.297,479.5,1,0,1,-0.7,0.1,2.3,2.3,0.003
54,-63.7,0.4,0.600,0,0.000,1.555,1.919,0,0.313,479.6,1,0,1,-1.1,-0.3,2.7,2.7,0.001
55,-62.9,0.8,0.600,0,0.000,1.560,1.917,0,0.298,479.0,1,0,1,-2.0,0.0,1.3,0.9,0.001
56,-62.3,1.0,0.600,0,0.000,1.566,1.914,0,0.287,479.1,1,0,1,-6.1,-0.4,0.6,1.2,-0.004
