step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip,pred_x1,pred_y1,pred_x2,pred_y2,pred_vis
1,-12.1,14.4,-0.112,1,0.100,4.413,4.609,0,1.052,320.5,0,0,1,319.5,149.7,397.7,319.8,0.993
2,-11.5,14.1,-0.057,1,0.200,4.351,4.571,0,1.033,319.5,0,0,1,294.3,143.0,382.5,327.2,0.992
3,-11.0,13.7,-0.021,1,0.300,4.285,4.521,0,1.039,326.1,0,0,1,275.8,143.4,372.3,328.1,0.993
4,-11.0,12.9,-0.026,1,0.400,4.191,4.448,0,1.025,329.6,0,0,1,284.7,138.8,384.0,338.8,0.989
5,-11.5,12.0,-0.006,1,0.500,4.110,4.384,0,1.005,330.6,0,0,1,278.2,140.0,378.0,334.7,0.993
6,-12.4,10.8,-0.034,0,0.600,4.003,4.297,0,0.978,334.5,0,0,1,288.0,136.6,388.9,342.5,0.995
7,-13.8,9.4,-0.018,0,0.700,3.884,4.200,0,0.957,340.4,0,0,1,273.8,135.4,383.8,348.4,1.000
8,-15.5,7.8,-0.048,0,0.800,3.733,4.072,0,0.927,345.6,0,0,1,286.0,134.6,395.4,348.4,1.000
9,-16.2,7.3,-0.168,0,0.900,3.625,3.980,0,1.071,350.6,0,0,1,389.2,141.8,486.7,336.9,1.001
10,-15.8,7.8,-0.288,0,0.961,3.499,3.868,0,0.961,350.2,0,0,0,409.0,138.7,507.7,338.3,1.001
11,-19.7,4.0,-0.408,0,0.811,3.363,3.768,0,0.811,356.7,0,0,0,430.3,124.2,549.3,378.9,1.005
12,-21.7,2.4,-0.528,0,0.789,3.224,3.656,0,0.789,374.4,0,0,0,426.5,124.0,534.0,370.3,0.999
13,-22.2,2.4,-0.556,0,0.667,3.088,3.542,0,0.667,338.5,0,0,0,430.1,116.4,547.7,385.5,1.003
14,-22.1,3.2,-0.567,0,0.589,2.946,3.426,0,0.589,349.3,0,0,0,432.0,111.6,550.5,387.6,1.002
15,-21.5,4.4,-0.492,0,0.610,2.809,3.319,0,0.610,356.7,0,0,0,407.6,112.9,525.9,386.7,1.000
16,-20.7,6.0,-0.491,0,0.491,2.678,3.225,0,0.491,410.5,0,0,0,407.2,103.7,533.2,410.4,1.004
17,-19.7,7.8,-0.500,0,0.432,2.549,3.137,0,0.432,422.4,0,0,0,404.0,99.3,539.6,420.4,1.005
18,-18.2,10.0,-0.489,0,0.417,2.429,3.059,0,0.417,436.5,0,0,0,399.3,97.9,537.4,426.0,1.003
19,-16.4,12.2,-0.563,0,0.293,2.320,2.988,0,0.293,450.1,0,0,0,431.7,75.8,571.1,455.1,1.002
20,-14.2,14.6,-0.549,1,0.319,2.219,2.922,0,0.319,461.8,0,0,0,434.8,76.5,564.2,459.0,1.001
21,-11.7,17.0,-0.545,1,0.000,2.128,2.862,0,0.372,475.7,1,0,0,429.0,76.4,548.4,453.8,0.997
22,-9.0,19.4,-0.504,1,0.000,2.050,2.809,0,0.371,480.0,1,0,1,419.2,78.4,548.6,448.8,1.000
23,-6.1,21.7,-0.384,1,0.000,1.989,2.768,0,0.382,480.0,1,0,1,301.0,83.7,454.8,443.6,1.002
24,-3.4,23.4,-0.264,1,0.000,1.947,2.743,0,0.431,480.0,1,0,1,260.3,91.0,394.2,436.2,0.996
25,-0.6,25.1,-0.144,1,0.000,1.911,2.721,0,0.415,480.0,1,0,1,212.9,91.2,363.1,432.7,1.003
26,1.4,26.2,-0.024,1,0.000,1.889,2.709,0,0.358,480.0,1,0,1,194.9,86.3,349.1,441.1,1.004
27,3.8,27.4,0.078,1,0.000,1.868,2.698,0,0.302,480.0,1,0,1,209.2,83.2,358.6,450.3,1.003
28,6.1,28.5,0.135,1,0.000,1.851,2.689,0,0.311,480.0,1,0,1,186.8,83.1,333.9,450.3,1.001
29,7.7,29.7,0.255,1,0.000,1.842,2.682,0,0.272,480.0,1,0,1,71.3,48.8,263.0,481.0,1.003
30,8.9,30.9,0.375,1,0.000,1.836,2.676,0,0.243,480.0,1,0,1,61.2,42.5,257.7,478.5,0.999
31,9.6,32.0,0.495,1,0.000,1.832,2.670,0,0.274,480.0,1,0,1,47.0,38.0,249.1,481.4,0.999
32,10.7,33.0,0.583,1,0.000,1.828,2.666,0,0.286,480.0,1,0,1,33.7,34.2,220.0,479.8,1.001
33,11.8,34.0,0.600,1,-0.317,1.825,2.662,0,-0.317,480.0,0,0,0,6.1,8.4,201.2,480.4,1.003
34,12.6,34.9,0.600,1,0.000,1.822,2.659,0,0.319,480.0,1,0,1,-2.9,13.7,175.2,484.8,1.004
35,13.0,35.5,0.600,1,0.000,1.829,2.663,0,0.316,480.0,1,0,1,-9.3,11.6,164.6,481.8,1.006
36,13.5,36.0,0.600,1,0.000,1.833,2.666,0,0.306,479.9,1,0,1,-7.5,15.0,164.5,478.5,1.006
37,14.7,36.9,0.600,1,0.000,1.833,2.665,0,0.333,479.9,1,0,1,-7.4,18.3,157.9,477.5,1.001
38,15.3,37.7,0.600,1,0.000,1.832,2.663,0,0.317,479.7,1,0,1,-13.6,19.1,150.2,474.7,1.004
39,16.3,38.8,0.505,1,0.000,1.831,2.661,0,0.286,479.2,1,0,1,46.9,19.6,225.1,485.6,1.004
40,17.3,39.6,0.483,1,0.000,1.830,2.660,0,0.300,479.1,1,0,1,39.0,19.8,240.2,477.3,1.000
41,18.0,40.7,0.485,1,-0.324,1.830,2.658,0,-0.324,478.8,0,0,0,46.2,13.9,264.4,482.8,1.008
42,19.4,41.8,0.586,1,-0.334,1.831,2.658,0,-0.334,478.7,0,0,0,21.3,4.9,245.6,482.0,1.002
43,20.1,42.7,0.600,1,-0.321,1.840,2.665,0,-0.321,0.0,0,0,0,12.7,5.2,233.0,481.0,0.997
44,21.1,43.6,0.600,1,0.100,1.862,2.681,0,0.298,0.0,0,0,1,21.6,10.5,216.9,479.2,1.000
45,22.1,44.5,0.600,1,0.200,1.886,2.699,0,0.286,0.0,0,0,1,15.9,20.3,190.6,477.6,1.004
46,23.1,45.4,0.600,1,0.291,1.900,2.710,0,0.291,0.0,0,0,0,11.5,22.1,186.0,480.1,1.003
47,23.9,46.3,0.600,1,0.294,1.899,2.709,0,0.294,0.0,0,0,0,25.3,32.2,201.0,479.4,0.998
48,24.0,46.4,0.576,1,0.293,1.882,2.697,0,0.293,0.0,0,0,0,29.8,39.5,213.8,475.9,0.999
49,23.7,46.2,0.600,1,0.325,1.860,2.680,0,0.325,0.0,0,0,0,7.0,33.6,185.4,477.9,1.001
50,23.4,45.9,0.600,1,0.322,1.836,2.663,0,0.322,0.0,0,0,0,9.1,28.4,161.7,475.8,1.003
51,22.2,45.6,0.600,1,0.315,1.810,2.645,0,0.315,0.0,0,0,0,11.5,29.6,163.8,475.5,1.001
52,20.6,45.3,0.600,1,0.315,1.781,2.626,0,0.315,0.0,0,0,0,7.1,24.8,162.7,478.4,1.005
53,18.9,44.9,0.600,1,0.334,1.752,2.605,0,0.334,0.0,0,0,0,-2.8,-0.3,2.4,4.1,0.005
54,17.2,44.6,0.600,1,0.000,1.723,2.584,0,0.313,475.1,1,0,0,35.2,34.6,199.3,481.5,1.017
55,15.5,44.4,0.600,1,0.000,1.694,2.561,0,0.314,477.5,1,0,1,37.1,30.7,207.1,481.5,1.011
56,14.1,44.4,0.583,1,0.000,1.672,2.544,0,0.313,479.2,1,0,1,43.3,29.1,211.6,477.8,1.011
57,13.5,45.1,0.600,1,0.000,1.666,2.536,0,0.314,479.8,1,0,1,29.9,24.7,196.9,469.3,1.006
58,13.2,46.1,0.576,1,0.000,1.664,2.530,0,0.297,479.8,1,0,1,38.2,33.8,208.2,478.9,1.009
59,13.0,47.1,0.456,1,0.000,1.662,2.524,0,0.255,479.9,1,0,1,94.2,31.2,306.8,481.0,0.999
60,14.6,48.1,0.336,1,-0.130,1.601,2.517,0,-0.130,479.8,0,0,0,137.3,35.1,330.6,482.1,1.001
61,16.1,49.2,0.242,1,-0.082,1.538,2.510,0,-0.082,480.0,0,0,0,119.7,34.5,328.0,485.7,1.001
62,17.5,50.7,0.354,1,0.000,1.499,2.508,0,0.323,480.0,1,0,1,68.7,28.6,285.1,484.2,0.999
63,17.8,52.3,0.373,1,0.000,1.504,2.505,0,0.302,480.0,1,0,1,41.1,29.3,278.8,480.2,0.997
64,17.8,53.5,0.376,1,0.000,1.504,2.498,0,0.114,480.0,1,0,1,44.1,31.8,270.4,478.8,0.995
65,17.5,54.5,0.496,1,-0.257,1.502,2.489,0,-0.257,480.0,0,0,0,18.3,15.0,232.9,480.2,0.994
66,17.3,55.6,0.583,1,0.000,1.501,2.480,0,0.115,479.9,1,0,1,-0.5,-0.3,4.6,1.2,-0.004
67,17.5,57.3,0.598,1,0.000,1.508,2.472,0,0.292,479.5,1,0,1,10.5,18.9,213.9,483.0,1.000
68,19.8,58.2,0.600,1,0.100,1.487,2.465,0,0.312,0.0,0,0,1,7.0,17.3,204.3,482.3,1.003
69,22.4,59.1,0.600,1,-0.321,1.468,2.457,0,-0.321,0.0,0,0,0,21.3,-1.2,197.0,479.8,1.005
70,24.6,59.6,0.600,1,-0.320,1.457,2.450,0,-0.320,0.0,0,0,0,27.0,-0.2,211.9,479.4,1.002
71,27.0,60.2,0.600,1,-0.338,1.461,2.447,0,-0.338,0.0,0,0,0,19.9,-0.1,217.0,477.8,1.003
72,28.4,61.5,0.600,1,-0.338,1.474,2.451,0,-0.338,0.0,0,0,0,9.7,-0.2,219.8,475.3,1.003
73,29.0,62.9,0.600,1,-0.327,1.490,2.461,0,-0.327,0.0,0,0,0,1.9,0.1,185.3,473.4,0.998
74,29.6,64.2,0.600,1,0.100,1.506,2.469,0,0.315,0.0,0,0,1,-3.9,6.7,169.6,476.0,1.009
75,29.2,64.6,0.600,1,0.200,1.520,2.476,0,0.299,0.0,0,0,1,1.6,-1.2,4.4,0.4,0.003
76,27.8,63.9,0.600,1,0.300,1.524,2.478,0,0.319,0.0,0,0,1,-7.4,44.3,114.9,448.7,1.010
77,25.8,63.2,0.600,1,0.327,1.523,2.475,0,0.327,0.0,0,0,0,-1.2,32.0,123.4,469.8,1.002
78,24.3,63.1,0.600,1,0.315,1.516,2.469,0,0.315,0.0,0,0,0,21.4,13.6,182.2,474.6,1.006
79,23.4,62.5,0.600,1,-0.446,1.494,2.458,0,-0.446,0.0,0,0,0,0.9,8.4,202.3,479.1,1.007
80,23.2,61.0,0.600,1,-0.393,1.446,2.447,0,-0.393,0.0,0,0,0,-4.8,6.7,191.7,487.2,1.013
81,23.2,59.4,0.600,1,-0.388,1.398,2.439,0,-0.388,478.4,0,0,0,4.9,2.0,190.2,483.1,1.010
82,24.2,58.8,0.600,1,0.000,1.355,2.439,0,0.314,478.1,1,0,1,10.7,-4.4,183.9,475.1,0.999
83,26.1,59.1,0.600,1,0.100,1.318,2.444,0,0.297,0.0,0,0,1,10.7,-2.7,173.2,475.0,1.003
84,27.9,59.4,0.600,1,0.200,1.275,2.450,0,0.291,0.0,0,0,1,4.1,0.5,176.8,476.7,1.002
85,28.9,58.8,0.600,1,0.296,1.222,2.452,0,0.296,0.0,0,0,0,4.9,-2.8,178.2,477.2,0.998
86,27.8,57.5,0.600,1,0.301,1.187,2.451,0,0.301,0.0,0,0,0,2.4,-3.4,173.1,477.1,1.002
87,24.6,55.6,0.600,1,0.313,1.170,2.447,0,0.313,0.0,0,0,0,19.1,6.3,195.9,474.6,0.994
88,21.1,53.4,0.600,1,0.313,1.149,2.438,0,0.313,0.0,0,0,0,12.5,11.7,181.3,475.4,0.999
89,17.4,51.1,0.600,1,0.000,1.126,2.427,0,0.299,478.3,1,0,0,11.0,5.9,178.9,481.4,1.000
90,13.9,48.9,0.600,1,-0.375,1.100,2.414,0,-0.375,479.2,0,0,0,0.4,0.0,2.0,-7.7,-0.010
91,10.7,47.3,0.480,1,-0.393,1.079,2.402,0,-0.393,479.0,0,0,0,57.9,1.6,279.3,474.6,1.002
92,8.8,46.7,0.468,1,-0.402,1.069,2.398,0,-0.402,478.9,0,0,0,55.6,-0.4,274.0,475.2,0.996
93,8.5,47.7,0.418,1,-0.415,1.074,2.403,0,-0.415,479.6,0,0,0,69.7,1.1,284.1,473.0,0.999
94,9.0,49.4,0.420,1,-0.422,1.088,2.413,0,-0.422,479.2,0,0,0,89.4,8.2,302.9,479.1,1.001
95,9.4,51.0,0.352,1,-0.455,1.102,2.422,0,-0.455,479.5,0,0,0,5.7,0.6,6.7,3.5,0.005
96,8.8,51.6,0.472,1,0.000,1.116,2.430,0,0.284,479.3,1,0,1,41.7,9.3,247.1,479.3,1.003
97,7.1,51.0,0.444,1,0.100,1.131,2.437,0,0.295,0.0,0,0,1,64.4,9.5,290.0,480.3,1.003
98,7.2,49.7,0.324,1,0.000,1.180,2.442,0,0.287,479.7,1,0,1,128.3,15.9,352.4,477.8,1.001
99,6.8,49.1,0.204,1,-0.599,1.211,2.445,0,-0.599,479.6,0,0,0,-9.5,0.5,9.0,-1.2,-0.004
100,5.8,49.4,0.180,1,-0.565,1.213,2.447,0,-0.565,479.3,0,0,0,-6.5,-0.2,9.8,-2.0,-0.011
101,5.1,49.9,0.060,1,-0.581,1.218,2.449,0,-0.581,479.5,0,0,0,217.9,-0.4,490.1,483.5,1.001
102,3.8,49.8,-0.060,1,-0.544,1.230,2.456,0,-0.544,479.8,0,0,0,257.4,-2.0,494.9,480.2,0.999
103,5.1,49.3,-0.100,1,-0.557,1.271,2.465,0,-0.557,479.6,0,0,0,232.4,-1.0,465.4,479.1,0.996
104,6.5,48.4,-0.091,1,-0.548,1.316,2.473,0,-0.548,479.8,0,0,0,-1.2,1.0,8.6,3.7,0.009
105,7.8,47.5,-0.029,1,-0.528,1.358,2.477,0,-0.528,479.8,0,0,0,-1.1,1.7,3.1,-1.6,-0.003
106,8.1,46.5,0.091,1,-0.476,1.392,2.477,0,-0.476,479.6,0,0,0,162.9,4.4,407.0,475.6,0.995
107,7.1,45.5,0.211,1,-0.456,1.425,2.473,0,-0.456,479.0,0,0,0,-3.3,0.4,6.2,6.5,0.013
108,7.7,44.2,0.159,1,-0.441,1.484,2.466,0,-0.441,477.8,0,0,0,129.7,8.1,383.1,478.3,1.001
109,8.3,43.3,0.045,1,-0.333,1.548,2.451,0,-0.333,478.9,0,0,0,178.5,8.1,390.7,475.1,0.996
110,9.1,42.8,0.122,1,-0.315,1.617,2.431,0,-0.315,479.1,0,0,0,134.5,9.6,379.3,477.0,0.992
111,9.1,41.9,0.242,1,0.000,1.701,2.415,0,0.362,478.5,1,0,1,48.1,10.4,295.5,478.7,1.000
112,8.6,40.9,0.362,1,-0.191,1.792,2.403,0,-0.191,479.3,0,0,0,42.7,11.8,297.3,478.7,0.990
113,8.1,40.2,0.410,1,-0.310,1.882,2.387,0,-0.310,479.5,0,0,0,46.0,11.4,304.1,477.5,0.994
114,7.4,39.7,0.530,1,-0.339,1.975,2.372,0,-0.339,478.9,0,0,0,5.0,4.8,250.9,479.0,0.998
115,6.2,38.9,0.553,1,-0.348,2.075,2.362,0,-0.348,459.5,0,0,0,3.8,4.2,246.7,477.6,0.996
116,4.4,37.7,0.600,1,-0.325,2.180,2.356,0,-0.325,440.0,0,0,0,1.7,1.9,234.2,477.6,0.995
117,2.1,36.3,0.600,1,-0.344,2.287,2.352,0,-0.344,429.5,0,0,0,-6.6,2.4,219.6,479.9,0.999
118,-0.2,34.8,0.600,1,-0.166,2.394,2.349,0,-0.166,420.6,0,0,0,-6.8,-1.0,7.6,2.0,0.006
119,-2.5,33.2,0.600,1,0.100,2.499,2.346,0,0.296,413.3,0,0,1,56.0,94.3,191.9,438.0,1.010
120,-4.4,31.9,0.600,1,0.200,2.598,2.340,0,0.317,407.5,0,0,1,42.6,95.6,186.6,426.4,1.011
121,-5.8,31.1,0.600,1,0.300,2.689,2.329,0,0.321,402.2,0,0,1,55.0,88.5,190.6,439.5,1.007
122,-6.6,31.0,0.600,1,0.328,2.765,2.308,0,0.328,399.4,0,0,0,50.4,84.1,195.2,443.3,1.005
123,-6.8,31.6,0.545,1,0.364,2.823,2.277,0,0.364,396.9,0,0,0,92.0,87.4,227.1,444.3,1.008
