step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop
1,-16.1,16.3,-0.120,1,0.766,4.659,4.659,0
2,-15.9,15.6,-0.240,0,0.838,4.643,4.611,0
3,-15.4,14.9,-0.205,0,0.888,4.586,4.540,0
4,-14.8,14.4,-0.124,0,0.859,4.508,4.447,0
5,-14.4,13.9,-0.125,0,0.838,4.409,4.331,0
6,-14.3,13.5,-0.172,0,0.645,4.287,4.192,0
7,-14.8,12.6,-0.138,0,1.000,4.155,4.045,0
8,-14.7,12.5,-0.251,0,1.000,4.037,3.907,0
9,-13.7,13.6,-0.229,0,0.954,3.903,3.752,0
10,-13.7,13.9,-0.293,1,0.899,3.763,3.591,0
11,-13.9,14.4,-0.288,1,0.929,3.616,3.422,0
12,-13.9,15.5,-0.203,1,0.926,3.463,3.249,0
13,-13.9,16.8,-0.231,1,0.696,3.311,3.078,0
14,-13.9,18.3,-0.200,1,0.599,3.159,2.907,0
15,-13.7,20.0,-0.199,1,0.542,3.016,2.745,0
16,-13.5,21.8,-0.141,1,0.509,2.887,2.599,0
17,-13.3,23.6,-0.021,1,0.509,2.767,2.463,0
18,-13.2,25.7,0.099,1,0.419,2.653,2.336,0
19,-13.2,28.0,0.219,1,0.417,2.541,2.218,0
20,-13.7,30.4,0.295,1,0.400,2.436,2.112,0
21,-14.6,32.9,0.220,1,0.394,2.339,2.019,0
22,-15.7,35.7,0.187,1,0.359,2.247,1.938,0
23,-17.1,38.8,0.196,1,0.356,2.162,1.871,0
24,-18.9,42.0,0.202,1,0.332,2.085,1.816,0
25,-20.9,45.3,0.255,1,0.339,2.015,1.772,0
26,-23.2,48.6,0.260,1,0.360,1.952,1.737,0
27,-25.7,52.0,0.140,1,0.299,1.896,1.710,0
28,-28.5,55.5,0.020,1,0.267,1.844,1.689,0
29,-31.4,59.0,-0.100,1,0.277,1.801,1.678,0
30,-34.2,62.5,-0.220,1,0.250,1.767,1.674,0
31,-37.0,66.1,-0.340,1,-0.213,1.740,1.676,0
32,-39.7,69.8,-0.460,1,0.051,1.720,1.684,0
33,-42.2,73.2,-0.580,1,-0.280,1.712,1.699,0
34,-44.3,76.5,-0.600,1,0.107,1.712,1.717,0
35,-46.0,79.5,-0.600,1,0.184,1.721,1.738,0
36,-48.1,82.4,-0.600,1,0.286,1.730,1.759,0
37,-50.2,85.8,-0.600,1,0.246,1.732,1.779,0
38,-52.4,89.9,-0.600,1,-0.336,1.730,1.800,0
39,-54.4,94.1,-0.600,1,-0.353,1.730,1.824,0
40,-56.1,97.9,-0.600,1,-0.361,1.739,1.849,0
41,-57.5,101.1,-0.600,1,-0.367,1.759,1.872,0
42,-58.8,103.4,-0.600,1,-0.349,1.786,1.891,0
43,-60.5,105.1,-0.600,1,0.273,1.814,1.908,0
44,-62.5,106.6,-0.600,1,0.300,1.840,1.924,0
45,-64.1,109.1,-0.600,1,0.291,1.860,1.943,0
46,-65.3,112.5,-0.600,1,0.300,1.876,1.964,0
47,-65.9,116.9,-0.600,1,-0.226,1.891,1.988,0
48,-65.5,122.3,-0.600,1,-0.376,1.904,2.016,0
49,-64.7,128.2,-0.600,1,-0.395,1.917,2.045,0
50,-64.3,133.4,-0.600,1,-0.463,1.935,2.070,0
51,-64.3,137.5,-0.600,1,-0.428,1.957,2.085,0
52,-64.2,141.2,-0.600,1,-0.467,1.980,2.086,0
53,-63.6,145.4,-0.600,1,-0.434,2.000,2.078,0
54,-61.9,150.8,-0.600,1,-0.419,2.015,2.063,0
55,-59.6,156.8,-0.600,1,-0.402,2.026,2.040,0
56,-56.9,163.1,-0.600,1,-0.418,2.034,2.008,0
57,-54.2,169.5,-0.600,1,0.259,2.038,1.972,0
58,-51.3,176.2,-0.600,1,0.271,2.039,1.936,0
59,-48.9,-177.5,-0.600,1,0.274,2.040,1.907,0
60,-48.0,-172.3,-0.600,1,0.279,2.036,1.893,0
61,-49.3,-168.3,-0.600,1,0.279,2.024,1.896,0
62,-50.7,-165.8,-0.600,1,0.281,2.014,1.908,0
63,-51.7,-162.2,-0.600,1,0.280,2.003,1.925,0
64,-52.0,-157.8,-0.600,1,0.278,1.995,1.947,0
65,-51.4,-152.7,-0.600,1,0.276,1.987,1.974,0
66,-50.4,-147.2,-0.600,1,0.283,1.981,2.006,0
67,-49.2,-141.5,-0.600,1,0.290,1.975,2.043,0
68,-48.0,-136.1,-0.600,1,0.285,1.970,2.083,0
69,-46.9,-130.8,-0.600,1,0.291,1.966,2.125,0
70,-45.8,-127.0,-0.600,1,0.302,1.964,2.150,0
71,-44.8,-124.2,-0.600,1,0.291,1.963,2.165,0
72,-43.8,-121.5,-0.600,1,0.325,1.965,2.179,0
73,-43.0,-119.0,-0.600,1,0.312,1.969,2.192,0
74,-42.2,-116.6,-0.600,1,0.350,1.977,2.206,0
75,-41.5,-114.3,-0.600,1,0.343,1.987,2.218,0
76,-40.9,-112.3,-0.600,1,0.338,2.000,2.231,0
77,-40.2,-110.2,-0.600,1,-0.320,2.016,2.242,0
78,-39.5,-107.1,-0.600,1,-0.306,2.035,2.263,0
79,-38.8,-103.4,-0.600,1,-0.344,2.062,2.279,0
80,-38.4,-100.8,-0.600,1,-0.331,2.101,2.286,0
81,-38.5,-99.9,-0.600,1,-0.331,2.155,2.286,0
82,-39.0,-99.3,-0.600,1,-0.330,2.220,2.284,0
83,-39.8,-97.5,-0.600,1,-0.327,2.288,2.266,0
84,-39.6,-94.7,-0.600,1,-0.338,2.359,2.241,0
85,-38.1,-90.6,-0.600,1,-0.341,2.434,2.212,0
86,-35.2,-85.2,-0.600,1,-0.336,2.510,2.180,0
87,-31.4,-78.9,-0.600,1,0.658,2.588,2.146,0
88,-27.6,-72.5,-0.600,1,0.505,2.667,2.111,0
89,-24.5,-66.7,-0.581,1,0.471,2.740,2.072,0
90,-22.8,-62.5,-0.493,1,0.456,2.802,2.027,0
91,-22.5,-59.9,-0.509,1,0.467,2.849,1.972,0
92,-23.2,-58.5,-0.493,1,0.318,2.878,1.904,0
93,-23.3,-56.8,-0.466,1,0.409,2.896,1.829,0
94,-21.9,-53.6,-0.438,1,0.356,2.916,1.749,0
95,-19.9,-50.6,-0.437,1,0.369,2.932,1.685,0
96,-17.8,-48.1,-0.395,1,0.369,2.948,1.665,0
97,-15.9,-45.9,-0.394,1,0.626,2.963,1.643,0
98,-14.1,-43.9,-0.450,1,0.636,2.977,1.619,0
99,-12.5,-42.1,-0.472,1,0.548,2.988,1.592,0
100,-10.7,-40.4,-0.475,1,0.481,2.988,1.555,0
101,-8.9,-38.9,-0.481,1,0.432,2.986,1.515,0
102,-7.4,-37.5,-0.537,1,0.662,2.989,1.478,0
103,-6.2,-33.6,-0.543,1,0.441,2.996,1.409,0
104,-4.9,-29.6,-0.476,1,0.441,2.996,1.343,0
105,-3.6,-25.2,-0.493,1,0.517,2.998,1.286,0
106,-2.5,-20.7,-0.459,1,0.537,3.005,1.242,0
107,-1.5,-16.1,-0.354,1,0.345,3.009,1.205,0
108,-0.4,-11.3,-0.468,1,0.477,3.012,1.177,0
109,0.6,-6.7,-0.555,1,0.521,3.017,1.160,0
110,1.6,-2.1,-0.435,1,0.599,3.024,1.155,0
