step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop
1,17.9,-14.5,0.120,0,0.865,4.661,4.660,0
2,18.1,-14.4,0.240,0,0.535,4.659,4.660,0
3,19.4,-14.8,0.274,0,0.631,4.641,4.645,0
4,20.9,-15.1,0.241,0,0.564,4.602,4.610,0
5,22.4,-15.6,0.197,0,0.594,4.540,4.555,0
6,24.1,-15.9,0.304,0,0.567,4.464,4.486,0
7,25.3,-16.7,0.238,0,0.736,4.379,4.409,0
8,26.5,-17.6,0.358,0,0.706,4.288,4.329,0
9,27.6,-18.4,0.468,0,0.592,4.190,4.243,0
10,28.2,-19.9,0.468,0,0.615,4.081,4.148,0
11,28.6,-21.6,0.448,0,0.558,3.966,4.049,0
12,28.6,-23.5,0.388,0,0.467,3.851,3.952,0
13,28.9,-25.1,0.391,0,0.400,3.735,3.857,0
14,29.0,-26.7,0.299,0,0.363,3.624,3.771,0
15,29.3,-28.3,0.368,0,0.377,3.520,3.690,0
16,29.6,-29.7,0.460,1,0.386,3.420,3.615,0
17,29.9,-31.3,0.461,1,0.377,3.322,3.540,0
18,30.1,-33.1,0.463,1,0.345,3.225,3.466,0
19,30.3,-35.0,0.343,1,0.330,3.129,3.395,0
20,30.5,-36.9,0.329,1,0.360,3.037,3.325,0
21,31.0,-38.7,0.449,1,0.328,2.947,3.259,0
22,31.5,-40.6,0.569,1,0.310,2.857,3.192,0
23,31.9,-42.7,0.533,1,0.304,2.770,3.128,0
24,32.4,-44.8,0.478,1,0.318,2.686,3.065,0
25,32.9,-47.0,0.562,1,0.333,2.605,3.005,0
26,33.6,-49.2,0.534,1,0.344,2.527,2.947,0
27,34.2,-51.7,0.415,1,0.289,2.455,2.889,0
28,35.0,-54.3,0.344,1,0.302,2.390,2.832,0
29,36.1,-56.8,0.464,1,0.278,2.334,2.779,0
30,37.4,-59.2,0.584,1,-0.294,2.285,2.729,0
31,38.7,-61.6,0.600,1,0.284,2.243,2.681,0
32,40.2,-63.7,0.600,1,0.240,2.212,2.640,0
33,41.6,-66.0,0.600,1,0.268,2.182,2.599,0
34,43.0,-68.5,0.600,1,0.257,2.153,2.559,0
35,44.4,-71.3,0.600,1,0.276,2.124,2.522,0
36,45.7,-74.3,0.600,1,0.275,2.096,2.490,0
37,46.9,-77.5,0.600,1,0.279,2.068,2.461,0
38,48.1,-80.9,0.600,1,0.275,2.038,2.436,0
39,49.3,-84.3,0.600,1,0.496,2.005,2.415,0
40,50.6,-87.8,0.600,1,0.350,1.969,2.399,0
41,49.4,-91.6,0.600,1,0.332,1.950,2.386,0
42,48.1,-95.6,0.600,1,0.322,1.928,2.377,0
43,47.0,-99.4,0.600,1,0.316,1.906,2.373,0
44,45.8,-103.3,0.600,1,0.316,1.884,2.372,0
45,44.6,-107.1,0.600,1,0.314,1.863,2.374,0
46,43.4,-110.8,0.600,1,0.308,1.841,2.375,0
47,42.2,-114.6,0.600,1,0.313,1.818,2.374,0
48,41.0,-118.3,0.600,1,0.321,1.796,2.375,0
49,39.7,-122.1,0.600,1,-0.304,1.772,2.378,0
50,38.4,-125.8,0.600,1,0.272,1.748,2.386,0
51,37.1,-129.5,0.600,1,0.291,1.725,2.395,0
52,35.8,-133.0,0.600,1,0.286,1.703,2.406,0
53,34.4,-136.6,0.600,1,0.293,1.680,2.420,0
54,33.1,-140.1,0.600,1,0.305,1.657,2.437,0
55,31.8,-143.6,0.600,1,0.304,1.633,2.457,0
56,30.3,-147.1,0.600,1,0.308,1.608,2.480,0
57,28.8,-150.7,0.600,1,0.303,1.582,2.506,0
58,27.3,-154.2,0.600,1,0.306,1.556,2.534,0
59,25.6,-157.7,0.480,1,-0.359,1.530,2.564,0
60,23.9,-161.3,0.591,1,-0.369,1.503,2.595,0
61,22.4,-164.4,0.600,1,-0.361,1.480,2.625,0
62,21.4,-166.8,0.600,1,-0.333,1.469,2.642,0
63,21.5,-167.7,0.481,1,0.259,1.474,2.645,0
64,22.1,-167.9,0.429,1,0.254,1.490,2.637,0
65,22.4,-168.5,0.525,1,0.065,1.500,2.635,0
66,22.0,-170.1,0.474,1,-0.018,1.497,2.648,0
67,21.2,-172.0,0.394,1,0.065,1.493,2.665,0
68,20.8,-173.5,0.349,1,0.021,1.490,2.679,0
69,20.2,-175.2,0.365,1,-0.468,1.486,2.697,0
70,19.6,-176.9,0.485,1,-0.463,1.482,2.715,0
71,19.4,-178.2,0.566,1,-0.485,1.482,2.730,0
72,19.8,-178.6,0.568,1,-0.484,1.492,2.735,0
73,20.0,-179.0,0.510,1,-0.448,1.492,2.736,0
74,18.9,-179.9,0.390,1,-0.459,1.462,2.739,0
75,16.7,178.2,0.270,1,-0.421,1.433,2.744,0
76,13.4,175.6,0.150,1,-0.430,1.412,2.748,0
77,9.4,172.3,0.030,1,-0.422,1.398,2.751,0
78,5.0,168.8,-0.090,1,-0.440,1.391,2.752,0
79,0.6,165.4,-0.210,1,-0.364,1.393,2.754,0
80,-3.5,162.1,-0.330,1,-0.392,1.403,2.756,0
81,-7.4,159.1,-0.417,1,-0.413,1.420,2.758,0
82,-10.8,156.5,-0.386,1,-0.385,1.445,2.761,0
83,-13.7,154.2,-0.392,1,-0.073,1.477,2.764,0
84,-16.3,152.1,-0.512,1,0.051,1.514,2.769,0
85,-18.6,150.9,-0.564,1,-0.093,1.545,2.768,0
86,-20.3,150.9,-0.600,1,-0.005,1.564,2.766,0
87,-21.8,151.1,-0.600,1,0.118,1.585,2.763,0
88,-23.3,151.2,-0.600,1,0.104,1.605,2.762,0
89,-24.8,151.5,-0.600,1,0.161,1.622,2.766,0
90,-26.2,151.9,-0.600,1,-0.314,1.637,2.773,0
91,-27.5,152.5,-0.600,1,0.300,1.652,2.782,0
92,-28.7,152.9,-0.600,1,0.302,1.673,2.786,0
93,-30.0,153.3,-0.600,1,0.297,1.691,2.794,0
94,-31.3,154.1,-0.600,1,0.301,1.701,2.813,0
95,-32.6,154.8,-0.600,1,0.312,1.708,2.836,0
96,-34.0,155.5,-0.600,1,0.321,1.719,2.857,0
97,-35.2,156.1,-0.600,1,0.344,1.734,2.875,0
98,-36.3,156.4,-0.600,1,0.328,1.752,2.896,0
99,-36.8,156.3,-0.600,1,0.311,1.768,2.921,0
100,-36.6,157.1,-0.600,1,0.313,1.783,2.943,0
101,-35.7,158.4,-0.600,1,0.310,1.800,2.958,0
102,-34.8,159.7,-0.600,1,0.305,1.817,2.968,0
103,-34.1,160.8,-0.600,1,0.303,1.835,2.973,0
104,-33.3,162.0,-0.600,1,0.309,1.853,2.973,0
105,-32.3,163.3,-0.600,1,0.293,1.871,2.969,0
106,-31.4,164.7,-0.600,1,0.298,1.887,2.962,0
107,-30.4,166.1,-0.600,1,0.284,1.904,2.950,0
108,-29.4,167.5,-0.600,1,0.283,1.922,2.932,0
109,-28.5,168.7,-0.600,1,0.282,1.941,2.912,0
110,-27.7,169.8,-0.600,1,0.294,1.961,2.891,0
111,-26.8,170.9,-0.600,1,0.293,1.982,2.872,0
112,-25.8,171.9,-0.600,1,0.301,2.002,2.854,0
113,-24.9,173.0,-0.600,1,0.306,2.021,2.838,0
114,-23.8,174.0,-0.600,1,0.299,2.040,2.825,0
115,-22.8,175.0,-0.600,1,0.292,2.058,2.812,0
116,-21.7,175.9,-0.600,1,0.292,2.077,2.801,0
117,-20.7,176.7,-0.600,1,0.284,2.096,2.790,0
118,-19.7,177.3,-0.600,1,0.282,2.117,2.779,0
119,-18.6,178.0,-0.480,1,0.262,2.138,2.769,0
120,-17.7,178.5,-0.425,1,0.279,2.159,2.761,0
121,-16.7,179.0,-0.383,1,0.301,2.181,2.753,0
122,-15.8,179.4,-0.389,1,0.271,2.202,2.747,0
123,-14.9,179.7,-0.349,1,0.257,2.223,2.743,0
124,-14.1,179.8,-0.353,1,0.253,2.245,2.739,0
125,-13.4,179.8,-0.372,1,0.276,2.269,2.735,0
126,-12.7,179.8,-0.252,1,0.210,2.293,2.731,0
127,-11.9,179.8,-0.268,1,0.195,2.318,2.729,0
128,-11.2,179.5,-0.232,1,0.185,2.346,2.725,0
129,-10.7,179.2,-0.352,1,0.318,2.377,2.720,0
130,-10.2,178.7,-0.321,1,0.321,2.409,2.716,0
131,-9.7,178.3,-0.285,1,0.314,2.437,2.716,0
132,-8.9,178.2,-0.278,1,0.292,2.459,2.725,0
133,-8.0,178.1,-0.248,1,0.240,2.481,2.736,0
134,-7.2,178.0,-0.186,1,0.219,2.503,2.747,0
135,-6.4,177.7,-0.221,1,0.197,2.529,2.757,0
136,-5.8,177.2,-0.235,1,0.226,2.557,2.766,0
137,-5.2,176.8,-0.295,1,0.235,2.587,2.775,0
138,-4.6,176.4,-0.261,1,0.242,2.616,2.787,0
139,-3.9,176.0,-0.141,1,0.488,2.644,2.801,0
140,-3.2,175.5,-0.021,1,0.442,2.671,2.818,0
141,-2.5,175.2,-0.045,1,0.361,2.694,2.841,0
142,-1.6,175.0,-0.115,1,0.368,2.683,2.874,0
143,-0.4,174.9,-0.182,1,0.348,2.647,2.908,0
144,0.8,174.7,-0.117,1,0.350,2.612,2.944,0
