step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop
1,-7.8,16.1,-0.052,1,0.759,5.060,4.688,0
2,-7.3,15.8,-0.070,1,0.820,5.088,4.662,0
3,-6.3,15.8,-0.138,1,0.958,5.114,4.614,0
4,-5.0,16.3,-0.113,1,0.907,5.130,4.550,0
5,-3.8,16.9,-0.112,1,0.760,5.135,4.472,0
6,-4.4,15.8,-0.145,1,0.662,5.126,4.376,0
7,-6.5,13.2,-0.116,1,0.562,5.115,4.277,0
8,-7.0,12.2,-0.148,1,0.506,5.104,4.176,0
9,-5.1,13.4,-0.267,1,0.957,5.108,4.086,0
10,-3.8,14.1,-0.153,1,0.988,5.098,3.988,0
11,-3.7,13.7,-0.179,1,0.954,5.087,3.889,0
12,-4.0,12.8,-0.199,1,0.943,5.057,3.772,0
13,-4.4,12.0,-0.280,1,0.804,5.009,3.639,0
14,-5.1,10.8,-0.262,1,0.882,4.960,3.504,0
15,-5.1,10.2,-0.220,1,0.804,4.912,3.372,0
16,-4.9,9.9,-0.152,1,0.763,4.861,3.238,0
17,-4.3,9.8,-0.138,1,0.765,4.811,3.107,0
18,-3.7,9.7,-0.026,1,0.652,4.764,2.980,0
19,-3.0,9.7,0.094,1,0.607,4.716,2.855,0
20,-2.1,9.8,0.125,1,0.513,4.673,2.736,0
21,-1.2,9.7,0.139,1,0.431,4.632,2.624,0
22,-0.3,9.6,0.199,1,0.423,4.596,2.521,0
23,0.4,9.1,0.267,1,0.388,4.562,2.429,0
24,1.3,8.6,0.377,1,0.421,4.529,2.346,0
25,1.7,7.4,0.366,1,0.384,4.493,2.268,0
26,2.1,6.1,0.313,1,0.359,4.452,2.194,0
27,2.4,4.5,0.420,1,0.364,4.413,2.127,0
28,2.6,2.6,0.407,1,0.350,4.376,2.065,0
29,2.9,0.7,0.287,0,0.104,4.341,2.008,0
30,3.1,-1.4,0.167,0,0.085,4.308,1.957,0
31,3.3,-3.5,0.047,1,0.253,4.280,1.915,0
32,3.7,-5.5,-0.073,1,0.176,4.265,1.888,0
33,4.2,-7.6,-0.193,1,0.159,4.250,1.863,0
34,4.7,-9.7,-0.153,1,-0.108,4.236,1.842,0
35,5.3,-11.7,-0.169,1,-0.055,4.225,1.826,0
36,6.0,-13.5,-0.195,1,-0.089,4.225,1.822,0
37,6.8,-15.1,-0.190,1,-0.051,4.233,1.828,0
38,7.6,-16.8,-0.310,1,0.342,4.246,1.837,0
39,8.4,-18.4,-0.410,1,0.255,4.257,1.845,0
40,9.1,-20.2,-0.327,1,-0.009,4.259,1.845,0
41,9.8,-22.2,-0.279,1,0.070,4.249,1.836,0
42,10.6,-24.0,-0.286,1,0.013,4.245,1.832,0
43,11.4,-25.8,-0.266,1,0.317,4.246,1.835,0
44,12.2,-27.5,-0.283,1,0.249,4.252,1.843,0
45,13.0,-29.4,-0.297,1,0.172,4.251,1.845,0
46,13.9,-31.3,-0.264,1,0.090,4.243,1.842,0
47,14.8,-33.1,-0.196,1,-0.121,4.238,1.843,0
48,15.7,-34.9,-0.163,1,-0.147,4.240,1.851,0
49,16.4,-36.4,-0.283,1,0.260,4.254,1.869,0
50,17.0,-37.9,-0.163,1,0.315,4.277,1.894,0
51,17.5,-39.5,-0.043,1,0.302,4.301,1.919,0
52,18.2,-41.1,0.077,1,0.280,4.314,1.934,0
53,19.1,-43.0,0.197,1,0.273,4.313,1.938,0
54,20.0,-44.9,0.304,1,0.295,4.306,1.939,0
55,20.9,-47.0,0.424,1,-0.360,4.299,1.940,0
56,21.6,-49.3,0.361,1,-0.328,4.292,1.937,0
57,22.2,-51.4,0.241,1,0.215,4.294,1.937,0
58,22.8,-53.2,0.361,1,0.018,4.311,1.942,0
59,23.4,-55.0,0.481,1,0.317,4.329,1.944,0
60,24.0,-56.8,0.600,1,0.483,4.346,1.940,0
61,24.4,-58.9,0.600,1,0.362,4.360,1.931,0
62,24.6,-61.7,0.600,1,0.387,4.362,1.914,0
63,24.4,-65.2,0.600,1,0.351,4.355,1.895,0
64,24.3,-68.9,0.600,1,0.360,4.344,1.879,0
65,23.9,-72.9,0.600,1,0.346,4.335,1.868,0
66,23.5,-76.9,0.600,1,0.330,4.326,1.862,0
67,22.9,-81.1,0.600,1,0.317,4.319,1.862,0
68,22.2,-85.3,0.600,1,0.311,4.313,1.867,0
69,21.5,-89.4,0.600,1,0.471,4.309,1.877,0
70,20.8,-93.5,0.600,1,0.372,4.306,1.892,0
71,20.0,-97.7,0.600,1,0.370,4.302,1.912,0
72,18.9,-102.2,0.600,1,0.366,4.296,1.937,0
73,17.9,-106.5,0.600,1,0.355,4.290,1.967,0
74,16.8,-110.8,0.600,1,0.346,4.284,2.003,0
75,15.8,-114.7,0.600,1,0.336,4.282,2.041,0
76,14.8,-118.6,0.600,1,0.340,4.280,2.084,0
77,13.8,-122.5,0.600,1,0.323,4.278,2.131,0
78,12.6,-126.2,0.600,1,0.322,4.277,2.181,0
79,11.5,-129.9,0.495,1,0.386,4.277,2.233,0
80,10.5,-133.3,0.600,1,0.400,4.278,2.289,0
81,9.3,-136.8,0.600,1,0.359,4.277,2.348,0
82,7.9,-140.4,0.600,1,0.347,4.272,2.413,0
83,6.8,-143.7,0.600,1,0.322,4.270,2.479,0
84,5.6,-146.8,0.600,1,0.288,4.270,2.546,0
85,4.0,-149.7,0.600,1,0.256,4.238,2.614,0
86,2.5,-152.4,0.600,1,0.272,4.210,2.680,0
87,1.1,-154.9,0.600,1,0.285,4.183,2.745,0
88,-0.4,-157.4,0.487,1,0.078,4.157,2.812,0
89,-1.9,-159.8,0.600,1,0.574,4.130,2.880,0
90,-3.0,-161.8,0.480,1,0.656,4.113,2.941,0
91,-4.0,-163.5,0.491,1,0.621,4.100,2.997,0
92,-5.6,-165.9,0.371,1,0.461,4.073,3.068,0
93,-7.9,-168.9,0.251,1,0.426,4.032,3.154,0
94,-10.2,-171.8,0.131,1,0.398,3.987,3.244,0
95,-12.0,-174.2,0.011,1,0.332,3.946,3.332,0
96,-13.5,-176.1,-0.109,1,0.340,3.910,3.416,0
97,-14.5,-177.7,-0.229,1,0.338,3.877,3.496,0
98,-15.4,-178.9,-0.349,1,0.318,3.846,3.576,0
99,-16.1,180.0,-0.229,1,0.742,3.816,3.654,0
100,-16.6,179.1,-0.109,1,0.751,3.788,3.732,0
101,-16.2,178.2,0.011,1,0.585,3.764,3.813,0
102,-15.8,177.2,0.131,1,0.490,3.721,3.910,0
103,-15.5,176.2,0.251,1,0.527,3.665,4.013,0
104,-15.0,175.3,0.371,1,0.464,3.605,4.113,0
105,-14.5,174.5,0.251,1,0.308,3.540,4.213,0
106,-14.1,173.6,0.251,1,0.388,3.472,4.307,0
107,-13.5,172.9,0.364,1,0.321,3.406,4.394,0
108,-13.0,172.0,0.244,1,0.302,3.336,4.479,0
109,-12.5,171.2,0.364,1,0.294,3.263,4.561,0
110,-11.9,170.5,0.484,1,0.306,3.188,4.640,0
111,-11.5,169.8,0.600,1,0.295,3.109,4.718,0
112,-11.1,168.8,0.600,1,0.288,3.031,4.797,0
113,-10.9,167.8,0.600,1,0.308,2.954,4.875,0
114,-10.7,166.7,0.480,1,0.311,2.878,4.953,0
115,-10.4,165.6,0.360,1,0.247,2.802,5.032,0
116,-10.2,164.4,0.480,1,0.311,2.727,5.111,0
117,-9.8,163.4,0.600,1,0.310,2.657,5.187,0
118,-9.5,162.2,0.600,1,0.300,2.586,5.265,0
119,-9.3,160.8,0.546,1,0.166,2.519,5.344,0
120,-9.0,159.4,0.539,1,0.302,2.458,5.422,0
121,-8.6,158.1,0.600,1,0.315,2.406,5.497,0
122,-8.2,156.7,0.600,1,0.285,2.359,5.574,0
123,-7.9,155.0,0.600,1,0.307,2.316,5.652,0
124,-7.6,153.4,0.600,1,0.304,2.279,5.728,0
125,-7.3,151.7,0.600,1,0.304,2.246,5.806,0
126,-7.1,149.9,0.600,1,0.292,2.217,5.883,0
127,-6.9,148.1,0.600,1,0.294,2.191,5.960,0
128,-6.8,146.2,0.600,1,0.304,2.160,6.035,0
129,-6.7,144.3,0.600,1,0.320,2.123,6.110,0
130,-6.6,142.3,0.600,1,0.297,2.081,6.185,0
131,-6.6,140.3,0.600,1,0.294,2.035,6.260,0
132,-6.5,138.3,0.600,1,0.297,1.992,6.333,0
133,-6.3,136.3,0.600,1,0.300,1.952,6.406,0
134,-6.1,134.3,0.600,1,0.301,1.915,6.478,0
135,-6.0,132.2,0.600,1,0.299,1.881,6.550,0
136,-5.8,130.1,0.600,1,0.296,1.849,6.621,0
137,-5.6,128.0,0.600,1,0.302,1.826,6.687,0
138,-5.3,125.9,0.600,1,0.304,1.802,6.756,0
139,-5.0,123.8,0.600,1,0.299,1.780,6.824,0
140,-4.7,121.7,0.600,1,0.312,1.764,6.889,0
141,-4.5,119.5,0.600,1,0.316,1.751,6.955,0
142,-4.4,117.2,0.600,1,0.319,1.737,7.020,0
143,-4.3,115.0,0.600,1,0.313,1.726,7.085,0
144,-4.2,112.7,0.600,1,0.311,1.718,7.149,0
145,-4.1,110.7,0.600,1,0.330,1.713,7.169,0
146,-4.0,108.8,0.600,1,0.322,1.711,7.180,0
147,-3.8,106.9,0.600,1,0.325,1.711,7.189,0
148,-3.4,105.2,0.600,1,0.321,1.720,7.197,0
149,-3.3,103.3,0.480,1,0.121,1.729,7.204,0
150,-3.3,101.4,0.376,1,0.184,1.737,7.211,0
151,-3.2,99.7,0.479,1,0.249,1.752,7.216,0
152,-2.6,98.4,0.359,1,0.236,1.774,7.219,0
153,-2.3,97.1,0.359,1,0.228,1.798,7.222,0
154,-1.9,95.7,0.479,1,0.328,1.824,7.224,0
155,-1.6,94.4,0.549,1,0.289,1.850,7.226,0
156,-1.5,93.0,0.583,1,0.327,1.876,7.228,0
157,-1.2,91.9,0.600,1,0.310,1.907,7.229,0
158,-1.3,90.4,0.600,1,0.308,1.936,7.229,0
159,-1.6,88.8,0.480,1,0.189,1.966,7.229,0
160,-2.2,86.9,0.360,1,0.197,1.994,7.228,0
161,-2.7,85.3,0.240,1,0.214,2.026,7.226,0
162,-2.8,83.9,0.120,1,0.221,2.067,7.222,0
163,-2.7,82.3,0.000,1,0.193,2.111,7.210,0
164,-2.6,80.8,-0.033,1,0.103,2.154,7.190,0
165,-2.4,79.5,0.001,1,0.090,2.201,7.163,0
166,-1.9,78.5,0.029,1,0.002,2.254,7.131,0
167,-1.2,77.7,0.097,1,-0.021,2.311,7.094,0
168,-0.3,77.1,0.187,1,0.109,2.374,7.052,0
169,0.6,76.7,0.067,1,0.397,2.440,7.005,0
170,1.0,75.9,-0.053,1,0.459,2.500,6.952,0
171,1.2,75.0,0.067,1,0.592,2.554,6.892,0
172,0.8,73.7,0.101,1,0.708,2.594,6.824,0
173,-0.3,71.9,0.159,1,0.744,2.616,6.748,0
174,-1.8,70.0,0.089,1,0.757,2.623,6.666,0
175,-3.2,68.1,0.056,1,0.753,2.623,6.578,0
176,-4.5,66.6,0.065,1,0.771,2.619,6.487,0
177,-5.4,65.4,0.073,1,0.795,2.616,6.394,0
178,-6.1,64.5,0.048,1,0.760,2.610,6.299,0
179,-6.8,63.8,-0.033,1,0.434,2.603,6.202,0
180,-7.2,63.2,-0.084,1,0.410,2.599,6.105,0
181,-7.4,62.9,-0.096,1,0.444,2.600,6.009,0
182,-7.1,62.9,-0.076,1,0.563,2.616,5.920,0
183,-6.7,62.9,-0.085,1,0.614,2.640,5.835,0
184,-6.5,62.8,-0.035,1,0.656,2.659,5.747,0
185,-6.2,62.9,-0.064,1,0.666,2.673,5.656,0
186,-5.9,63.0,-0.086,1,0.677,2.682,5.564,0
187,-5.7,63.2,-0.066,1,0.709,2.689,5.470,0
188,-5.3,63.5,-0.032,1,0.685,2.695,5.376,0
189,-4.9,63.8,-0.074,1,0.726,2.700,5.281,0
190,-4.4,64.3,-0.037,1,0.684,2.705,5.187,0
191,-4.1,64.6,-0.024,1,0.692,2.709,5.092,0
192,-3.6,65.1,-0.016,1,0.741,2.714,4.998,0
193,-3.3,65.4,0.031,1,0.737,2.717,4.904,0
