step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip
1,17.4,-9.4,-0.120,0,0.100,4.669,4.558,0,0.814,322.9,0,0,1
2,18.4,-8.9,-0.022,0,0.200,4.648,4.518,0,0.801,321.7,0,0,1
3,19.5,-8.2,-0.039,0,0.300,4.615,4.468,0,0.837,323.4,0,0,1
4,20.5,-7.7,0.023,0,0.400,4.568,4.405,0,0.860,326.6,0,0,1
5,21.8,-7.1,0.135,0,0.500,4.505,4.330,0,0.891,329.0,0,0,1
6,23.0,-6.5,0.202,0,0.600,4.427,4.242,0,0.893,329.8,0,0,1
7,24.2,-6.1,0.214,0,0.700,4.334,4.144,0,0.893,325.2,0,0,1
8,25.1,-5.9,0.180,0,0.799,4.229,4.037,0,0.799,324.6,0,0,0
9,24.9,-7.0,0.300,0,0.770,4.098,3.908,0,0.770,323.4,0,0,0
10,25.3,-7.2,0.180,0,0.763,3.994,3.810,0,0.763,329.8,0,0,0
11,25.6,-7.8,0.300,0,0.649,3.865,3.688,0,0.649,337.8,0,0,0
12,25.9,-8.4,0.367,0,0.703,3.733,3.562,0,0.703,344.4,0,0,0
13,25.5,-9.6,0.285,0,0.763,3.614,3.449,0,0.763,350.7,0,0,0
14,26.0,-10.1,0.217,0,0.863,3.490,3.329,0,0.869,356.7,0,0,1
15,26.4,-11.1,0.104,0,0.873,3.343,3.185,0,0.873,364.4,0,0,0
16,26.7,-11.9,0.224,0,0.583,3.233,3.076,0,0.583,373.4,0,0,0
17,27.6,-12.8,0.208,0,0.512,3.077,2.918,0,0.512,386.6,0,0,0
18,28.3,-13.3,0.195,0,0.568,2.974,2.812,0,0.568,398.8,0,0,0
19,29.5,-13.5,0.315,0,0.241,2.864,2.700,0,0.241,409.6,0,0,0
20,31.0,-13.9,0.435,0,0.225,2.743,2.572,0,0.225,415.9,0,0,0
21,32.1,-14.1,0.315,0,-0.063,2.663,2.486,0,-0.063,427.9,0,0,0
22,33.4,-14.2,0.401,0,0.100,2.581,2.396,0,0.152,439.4,0,0,1
23,34.8,-13.9,0.500,0,0.194,2.520,2.325,0,0.194,451.4,0,0,0
24,36.4,-13.6,0.600,0,0.230,2.470,2.260,0,0.230,462.9,0,0,0
25,37.9,-13.4,0.600,0,0.000,2.423,2.190,0,0.208,475.0,1,0,0
26,39.4,-13.3,0.600,0,0.000,2.379,2.118,0,0.210,480.0,1,0,1
27,41.0,-13.0,0.569,0,0.000,2.347,2.055,0,0.313,480.0,1,0,1
28,42.8,-12.8,0.534,0,0.000,2.327,2.026,0,0.309,480.0,1,0,1
29,44.6,-13.0,0.600,0,0.000,2.312,2.024,0,0.337,480.0,1,0,1
30,46.4,-12.4,0.600,0,0.000,2.301,1.995,0,0.324,480.0,1,0,1
31,48.5,-11.0,0.600,0,0.000,2.293,1.952,0,0.328,480.0,1,0,1
32,50.0,-9.9,0.600,0,0.000,2.289,1.927,0,0.316,480.0,1,0,1
33,52.1,-8.3,0.600,0,0.000,2.283,1.899,0,0.313,480.0,1,0,1
34,53.6,-7.0,0.600,0,0.000,2.273,1.886,0,0.309,480.0,1,0,1
35,55.3,-5.6,0.600,0,0.000,2.257,1.877,0,0.316,480.0,1,0,1
36,57.1,-4.0,0.600,0,0.000,2.237,1.877,0,0.316,480.0,1,0,1
37,58.8,-2.5,0.600,0,0.000,2.220,1.884,0,0.316,480.0,1,0,1
38,60.6,-1.1,0.600,0,0.000,2.206,1.899,0,0.315,480.0,1,0,1
39,62.5,0.3,0.600,0,0.000,2.195,1.918,0,0.277,479.9,1,0,1
40,64.3,1.7,0.600,0,0.000,2.187,1.937,0,0.051,480.0,1,0,0
41,66.5,3.2,0.600,0,-0.242,2.181,1.959,0,-0.242,480.0,0,0,0
42,68.1,4.4,0.600,0,0.000,2.180,1.974,0,0.272,478.6,1,0,1
43,70.1,6.1,0.600,0,0.000,2.184,2.000,0,0.045,478.1,1,0,0
44,72.0,7.5,0.600,0,0.000,2.190,2.022,0,0.274,479.1,1,0,1
45,73.8,8.8,0.600,0,0.000,2.197,2.039,0,0.274,479.6,1,0,1
46,75.4,9.9,0.600,0,0.000,2.207,2.055,0,0.290,479.5,1,0,1
47,77.4,11.3,0.600,0,0.000,2.222,2.072,0,0.284,479.4,1,0,1
48,79.0,12.4,0.600,0,0.000,2.238,2.086,0,0.191,479.0,1,0,1
49,80.3,13.3,0.530,0,0.000,2.254,2.097,0,0.349,479.3,1,0,1
50,82.1,14.6,0.600,0,0.000,2.280,2.110,0,0.320,479.5,1,0,1
51,83.2,15.3,0.600,0,0.000,2.300,2.119,0,0.317,479.4,1,0,1
52,84.6,16.3,0.600,0,0.000,2.327,2.129,0,0.319,479.5,1,0,1
53,85.9,17.4,0.600,0,0.000,2.357,2.138,0,0.312,479.3,1,0,1
54,87.3,18.4,0.600,0,0.000,2.389,2.148,0,0.303,478.2,1,0,1
55,88.4,19.3,0.600,0,0.000,2.424,2.157,0,0.296,472.6,1,0,1
56,89.5,20.3,0.600,0,0.100,2.461,2.168,0,0.295,0.0,0,0,1
57,90.7,21.3,0.600,0,0.200,2.500,2.180,0,0.288,0.0,0,0,1
58,91.1,21.6,0.600,0,0.290,2.541,2.188,0,0.290,0.0,0,0,0
59,90.9,21.1,0.600,0,0.289,2.585,2.191,0,0.289,0.0,0,0,0
60,90.1,20.0,0.600,0,0.291,2.631,2.189,0,0.291,0.0,0,0,0
61,89.2,18.9,0.600,0,0.294,2.679,2.186,0,0.294,0.0,0,0,0
62,88.2,17.7,0.600,0,0.000,2.728,2.184,0,0.290,479.4,1,0,0
63,87.3,16.5,0.600,0,0.000,2.779,2.183,0,0.286,479.2,1,0,1
64,87.0,16.2,0.600,0,0.000,2.841,2.197,0,0.285,479.0,1,0,1
65,87.4,16.8,0.600,0,0.000,2.897,2.220,0,0.293,478.7,1,0,1
66,88.0,17.5,0.600,0,0.000,2.954,2.245,0,0.292,473.6,1,0,1
67,88.4,18.2,0.600,0,0.100,3.011,2.272,0,0.306,460.1,0,0,1
68,88.7,18.7,0.600,0,0.200,3.060,2.295,0,0.302,454.8,0,0,1
69,88.6,18.6,0.600,0,0.300,3.130,2.321,0,0.379,457.7,0,0,1
70,87.9,18.0,0.600,0,0.340,3.181,2.335,0,0.340,462.2,0,0,0
71,86.6,16.8,0.600,0,0.258,3.242,2.349,0,0.258,463.4,0,0,0
72,85.0,15.2,0.600,0,0.278,3.303,2.357,0,0.278,461.2,0,0,0
73,83.4,13.6,0.600,0,0.287,3.365,2.368,0,0.287,456.5,0,0,0
74,82.1,12.3,0.600,0,0.297,3.427,2.380,0,0.297,450.8,0,0,0
75,80.6,10.9,0.600,0,0.294,3.490,2.393,0,0.294,446.2,0,0,0
76,79.2,9.1,0.600,0,0.288,3.552,2.391,0,0.288,441.9,0,0,0
77,77.7,6.6,0.600,0,0.286,3.615,2.363,0,0.286,441.0,0,0,0
78,76.3,4.2,0.600,0,0.290,3.678,2.335,0,0.290,441.9,0,0,0
79,75.0,1.8,0.600,0,0.389,3.741,2.307,0,0.389,443.9,0,0,0
80,73.7,0.5,0.600,0,0.326,3.804,2.307,0,0.326,447.0,0,0,0
81,72.3,-0.4,0.600,0,0.299,3.867,2.312,0,0.299,446.7,0,0,0
82,70.7,-1.4,0.600,0,0.291,3.939,2.310,0,0.291,440.4,0,0,0
83,69.4,-2.2,0.600,0,0.290,3.991,2.305,0,0.290,435.0,0,0,0
84,67.9,-3.0,0.600,0,0.285,4.054,2.296,0,0.285,439.5,0,0,0
85,66.4,-3.7,0.600,0,0.322,4.116,2.283,0,0.322,451.0,0,0,0
86,65.0,-4.3,0.600,0,0.300,4.178,2.264,0,0.300,461.2,0,0,0
87,63.5,-4.9,0.600,0,0.290,4.240,2.239,0,0.290,468.5,0,0,0
88,61.6,-5.7,0.600,0,0.000,4.311,2.203,0,0.288,475.0,1,0,0
