step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip
1,17.9,-6.3,0.120,0,0.100,4.664,4.703,0,0.842,321.4,0,0,1
2,17.0,-5.5,0.118,0,0.200,4.616,4.673,0,0.847,323.4,0,0,1
3,16.5,-4.5,0.036,0,0.300,4.557,4.633,0,0.611,324.9,0,0,1
4,16.4,-3.1,0.052,0,0.400,4.486,4.581,0,0.591,325.6,0,0,1
5,16.8,-1.3,0.058,0,0.399,4.401,4.515,0,0.399,326.6,0,0,0
6,17.7,0.7,0.114,0,0.499,4.301,4.434,0,0.526,326.8,0,0,1
7,18.9,3.0,0.098,0,0.367,4.185,4.327,0,0.367,330.1,0,0,0
8,20.1,4.4,0.084,0,0.335,4.152,4.243,0,0.335,333.6,0,0,0
9,21.0,5.7,0.101,0,0.435,4.116,4.143,0,0.944,336.0,0,0,1
10,21.8,6.6,0.140,0,0.535,4.085,4.046,0,0.894,337.4,0,0,1
11,22.4,7.5,0.157,0,0.635,4.052,3.943,0,0.962,337.9,0,0,1
12,23.1,8.2,0.126,0,0.735,4.013,3.833,0,0.987,338.2,0,0,1
13,23.6,8.6,0.054,0,0.835,3.964,3.712,0,0.990,334.2,0,0,1
14,24.0,8.6,-0.040,0,0.824,3.892,3.553,0,0.824,340.2,0,0,0
15,23.7,8.0,0.013,0,0.789,3.839,3.437,0,0.789,343.9,0,0,0
16,24.4,8.0,-0.011,0,0.765,3.713,3.288,0,0.765,353.4,0,0,0
17,25.6,8.0,-0.001,0,0.740,3.571,3.144,0,0.740,363.3,0,0,0
18,27.2,8.0,-0.040,0,0.729,3.416,2.976,0,0.729,374.6,0,0,0
19,28.6,8.2,0.080,0,0.368,3.313,2.857,0,0.368,385.3,0,0,0
20,30.4,8.4,0.200,0,0.345,3.201,2.717,0,0.345,395.4,0,0,0
21,32.4,8.7,0.320,0,0.316,3.105,2.581,0,0.316,404.8,0,0,0
22,34.6,9.3,0.387,0,0.335,3.033,2.460,0,0.335,413.1,0,0,0
23,36.4,9.7,0.369,0,0.339,2.987,2.356,0,0.339,419.4,0,0,0
24,38.1,10.1,0.337,0,0.346,2.949,2.258,0,0.346,428.4,0,0,0
25,39.7,10.6,0.292,0,0.349,2.910,2.164,0,0.349,442.6,0,0,0
26,41.4,11.3,0.241,0,0.348,2.871,2.072,0,0.348,465.6,0,0,0
27,43.2,12.2,0.189,0,0.000,2.832,1.982,0,0.350,476.8,1,0,0
28,45.0,13.3,0.220,0,0.000,2.795,1.896,0,0.343,480.0,1,0,1
29,46.8,14.7,0.340,0,-0.368,2.766,1.825,0,-0.368,480.0,0,0,0
30,48.6,14.9,0.460,0,-0.317,2.748,1.809,0,-0.317,480.0,0,0,0
31,50.4,14.8,0.452,0,-0.351,2.735,1.810,0,-0.351,480.0,0,0,0
32,52.0,14.8,0.332,0,-0.309,2.729,1.827,0,-0.309,480.0,0,0,0
33,53.7,15.0,0.319,0,0.000,2.724,1.851,0,0.221,480.0,1,0,1
34,55.5,15.2,0.272,0,-0.302,2.718,1.876,0,-0.302,480.0,0,0,0
35,57.3,15.4,0.260,0,0.000,2.703,1.893,0,0.092,480.0,1,0,0
36,59.3,15.8,0.316,0,-0.286,2.686,1.911,0,-0.286,480.0,0,0,0
37,61.1,16.1,0.374,0,-0.317,2.660,1.927,0,-0.317,480.0,0,0,0
38,63.0,18.5,0.284,0,-0.333,2.629,1.954,0,-0.333,479.9,0,0,0
39,64.8,20.9,0.404,0,0.100,2.593,1.994,0,0.286,0.0,0,0,1
40,66.7,23.2,0.524,0,0.200,2.551,2.043,0,0.278,0.0,0,0,1
41,68.2,25.1,0.600,0,0.300,2.499,2.094,0,0.342,0.0,0,0,1
42,69.2,26.2,0.480,0,0.275,2.436,2.139,0,0.275,0.0,0,0,0
43,69.8,26.6,0.360,0,0.284,2.371,2.180,0,0.284,0.0,0,0,0
44,70.3,26.4,0.240,0,0.269,2.308,2.218,0,0.269,0.0,0,0,0
45,70.7,25.6,0.360,0,-0.357,2.252,2.258,0,-0.357,0.0,0,0,0
46,71.3,24.7,0.480,0,0.100,2.202,2.302,0,0.383,0.0,0,0,1
47,72.4,23.9,0.378,0,0.200,2.162,2.354,0,0.296,0.0,0,0,1
48,73.8,23.5,0.258,0,0.117,2.129,2.407,0,0.117,0.0,0,0,0
49,75.2,23.0,0.138,0,0.217,2.102,2.456,0,0.319,0.0,0,0,1
50,76.8,22.8,0.018,0,0.317,2.081,2.504,0,0.332,0.0,0,0,1
51,78.4,22.7,-0.102,0,0.298,2.066,2.547,0,0.298,0.0,0,0,0
52,80.1,22.2,-0.222,0,0.309,2.052,2.582,0,0.309,0.0,0,0,0
53,81.9,22.1,-0.342,0,0.302,2.047,2.606,0,0.302,0.0,0,0,0
54,83.5,22.2,-0.462,0,0.297,2.047,2.623,0,0.297,0.0,0,0,0
55,85.8,22.7,-0.582,0,0.295,2.051,2.639,0,0.295,0.0,0,0,0
56,88.2,23.5,-0.600,0,0.300,2.060,2.651,0,0.300,0.0,0,0,0
57,91.0,24.7,-0.600,0,0.316,2.073,2.662,0,0.316,0.0,0,0,0
58,94.6,26.4,-0.600,0,0.319,2.093,2.677,0,0.319,0.0,0,0,0
59,97.3,27.8,-0.480,0,0.345,2.107,2.688,0,0.345,0.0,0,0,0
60,100.6,29.4,-0.360,0,0.328,2.120,2.702,0,0.328,0.0,0,0,0
61,103.9,31.1,-0.240,0,0.352,2.132,2.717,0,0.352,0.0,0,0,0
62,107.2,32.8,-0.120,0,0.356,2.141,2.733,0,0.356,0.0,0,0,0
63,110.6,34.5,0.000,0,0.343,2.148,2.749,0,0.343,0.0,0,0,0
64,114.1,36.3,0.120,0,0.320,2.156,2.767,0,0.320,0.0,0,0,0
65,117.2,37.7,0.240,0,0.312,2.170,2.788,0,0.312,0.0,0,0,0
66,120.3,39.2,0.360,0,0.302,2.190,2.812,0,0.302,0.0,0,0,0
67,123.1,40.5,0.480,0,0.305,2.215,2.838,0,0.305,0.0,0,0,0
68,125.8,41.7,0.600,0,0.293,2.245,2.866,0,0.293,0.0,0,0,0
69,128.2,42.6,0.600,0,-0.363,2.280,2.896,0,-0.363,0.0,0,0,0
70,130.2,43.2,0.600,0,-0.332,2.320,2.928,0,-0.332,0.0,0,0,0
71,132.0,43.7,0.600,0,-0.097,2.362,2.964,0,-0.097,0.0,0,0,0
72,133.9,44.4,0.600,0,0.032,2.397,3.011,0,0.032,0.0,0,0,0
73,135.6,44.2,0.600,0,0.132,2.427,3.013,0,0.150,0.0,0,0,1
74,137.1,43.9,0.600,0,-0.310,2.463,3.012,0,-0.310,0.0,0,0,0
75,138.7,43.3,0.600,0,-0.276,2.514,3.005,0,-0.276,0.0,0,0,0
76,140.1,42.9,0.600,0,0.100,2.554,3.004,0,0.283,0.0,0,0,1
77,141.6,43.0,0.600,0,0.200,2.581,3.012,0,0.297,0.0,0,0,1
78,143.2,42.9,0.600,0,0.295,2.618,3.019,0,0.295,0.0,0,0,0
79,144.2,42.3,0.600,0,0.295,2.668,3.015,0,0.295,0.0,0,0,0
80,144.5,41.1,0.600,0,0.304,2.731,3.001,0,0.304,0.0,0,0,0
81,144.2,39.3,0.600,0,0.303,2.803,2.981,0,0.303,0.0,0,0,0
82,143.7,37.5,0.600,0,0.304,2.879,2.959,0,0.304,0.0,0,0,0
83,143.3,35.7,0.600,0,0.303,2.957,2.935,0,0.303,0.0,0,0,0
84,142.9,34.0,0.600,0,0.301,3.037,2.911,0,0.301,0.0,0,0,0
85,142.3,32.2,0.600,0,0.286,3.118,2.887,0,0.286,0.0,0,0,0
86,141.7,30.4,0.600,0,0.296,3.200,2.864,0,0.296,0.0,0,0,0
87,141.0,28.6,0.600,0,0.284,3.284,2.839,0,0.284,0.0,0,0,0
88,140.3,26.8,0.502,0,-0.294,3.369,2.813,0,-0.294,0.0,0,0,0
89,139.7,25.1,0.600,0,0.100,3.455,2.789,0,0.311,0.0,0,0,1
90,139.4,23.9,0.600,0,0.200,3.533,2.774,0,0.312,0.0,0,0,1
91,139.7,23.2,0.600,0,0.300,3.606,2.767,0,0.318,0.0,0,0,1
92,139.4,22.0,0.600,0,0.313,3.686,2.752,0,0.313,0.0,0,0,0
93,138.6,20.3,0.600,0,0.336,3.775,2.727,0,0.336,427.6,0,0,0
94,137.5,18.4,0.600,0,0.303,3.866,2.700,0,0.303,425.5,0,0,0
95,136.3,17.0,0.600,0,0.306,3.960,2.658,0,0.306,425.0,0,0,0
96,135.2,16.5,0.600,0,0.285,4.053,2.603,0,0.285,428.6,0,0,0
97,134.0,15.9,0.600,0,0.279,4.162,2.532,0,0.279,431.7,0,0,0
98,132.9,15.4,0.600,0,0.318,4.254,2.469,0,0.318,434.7,0,0,0
99,132.0,15.0,0.600,0,0.290,4.332,2.412,0,0.290,439.5,0,0,0
100,130.8,14.3,0.600,0,0.295,4.426,2.338,0,0.295,447.7,0,0,0
101,129.5,13.6,0.600,0,0.298,4.521,2.260,0,0.298,457.4,0,0,0
102,128.3,12.9,0.600,0,0.286,4.615,2.183,0,0.286,465.2,0,0,0
103,127.0,12.4,0.600,0,0.282,4.709,2.110,0,0.282,469.2,0,0,0
104,125.7,12.0,0.600,0,0.000,4.803,2.043,0,0.276,470.4,1,0,0
105,124.5,12.0,0.600,0,0.000,4.895,1.984,0,0.279,476.7,1,0,1
106,123.7,12.5,0.600,0,0.000,4.983,1.939,0,0.276,479.8,1,0,1
107,123.6,13.9,0.600,0,0.000,5.064,1.911,0,0.283,480.0,1,0,1
108,123.6,15.5,0.600,0,0.000,5.144,1.888,0,0.124,480.0,1,0,1
109,123.7,17.2,0.600,0,0.000,5.225,1.869,0,0.285,480.0,1,0,1
