step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop,v_policy,cam_y2,cam_stop,gt_close,accel_clip
1,-9.3,15.9,0.077,1,0.100,4.996,4.688,0,0.812,319.4,0,0,1
2,-8.7,15.9,0.031,1,0.200,5.020,4.688,0,0.851,319.5,0,0,1
3,-8.2,15.9,0.036,1,0.300,5.042,4.684,0,0.840,319.5,0,0,1
4,-7.7,15.9,0.103,1,0.400,5.060,4.669,0,0.945,319.6,0,0,1
5,-7.4,15.3,0.062,1,0.500,5.075,4.613,0,0.886,319.6,0,0,1
6,-7.5,14.4,0.092,1,0.600,5.087,4.548,0,0.876,319.3,0,0,1
7,-8.1,13.1,0.109,1,0.700,5.092,4.472,0,0.956,320.3,0,0,1
8,-9.8,10.7,0.107,1,0.800,5.087,4.380,0,0.943,321.1,0,0,1
9,-12.1,8.0,-0.013,0,0.754,5.069,4.272,0,0.754,322.9,0,0,0
10,-14.5,5.2,-0.133,0,0.803,5.041,4.154,0,0.803,325.3,0,0,0
11,-18.0,1.2,-0.253,0,0.775,5.019,4.044,0,0.775,322.1,0,0,0
12,-20.3,-1.6,-0.333,0,0.865,4.989,3.922,0,0.865,331.0,0,0,0
13,-21.8,-3.7,-0.293,0,0.862,4.962,3.802,0,0.862,338.4,0,0,0
14,-23.0,-5.4,-0.262,0,0.899,4.927,3.673,0,0.899,344.0,0,0,0
15,-23.9,-6.9,-0.159,0,0.944,4.888,3.540,0,0.944,348.6,0,0,0
16,-24.5,-8.2,-0.198,0,0.940,4.846,3.405,0,0.940,353.9,0,0,0
17,-24.9,-9.3,-0.209,0,0.839,4.797,3.264,0,0.839,357.0,0,0,0
18,-24.9,-10.1,-0.167,0,0.718,4.745,3.124,0,0.718,361.1,0,0,0
19,-24.6,-10.7,-0.287,0,0.818,4.698,2.990,0,0.874,366.3,0,0,1
20,-24.3,-11.4,-0.407,0,0.694,4.656,2.865,0,0.694,372.8,0,0,0
21,-23.9,-12.1,-0.400,0,0.516,4.614,2.742,0,0.516,381.0,0,0,0
22,-23.2,-12.5,-0.316,0,0.450,4.573,2.624,0,0.450,391.5,0,0,0
23,-22.1,-12.9,-0.196,0,0.428,4.539,2.519,0,0.428,401.7,0,0,0
24,-21.2,-13.4,-0.164,0,0.440,4.511,2.429,0,0.440,415.7,0,0,0
25,-20.3,-14.3,-0.147,0,0.382,4.482,2.348,0,0.382,429.7,0,0,0
26,-19.4,-15.2,-0.206,0,0.367,4.449,2.273,0,0.367,444.6,0,0,0
27,-18.5,-16.3,-0.207,0,0.353,4.415,2.207,0,0.353,462.8,0,0,0
28,-17.4,-17.4,-0.153,1,0.000,4.377,2.148,0,0.382,475.8,1,0,0
29,-16.3,-18.6,-0.273,1,0.000,4.340,2.096,0,0.320,480.0,1,0,1
30,-15.3,-20.0,-0.393,1,0.000,4.312,2.057,0,0.301,480.0,1,0,1
31,-14.3,-21.2,-0.513,1,0.100,4.299,2.037,0,0.332,320.4,0,0,1
32,-13.4,-22.7,-0.600,1,0.200,4.292,2.023,0,0.306,326.7,0,0,1
33,-12.4,-24.1,-0.600,1,0.299,4.281,2.007,0,0.299,331.6,0,0,0
34,-11.2,-25.4,-0.600,1,0.280,4.262,1.986,0,0.280,328.6,0,0,0
35,-9.7,-26.4,-0.600,1,0.283,4.236,1.961,0,0.283,330.4,0,0,0
36,-8.0,-27.5,-0.600,1,0.301,4.208,1.938,0,0.301,325.1,0,0,0
37,-6.2,-28.4,-0.600,1,0.337,4.181,1.917,0,0.337,328.1,0,0,0
38,-4.2,-29.2,-0.600,1,0.315,4.152,1.898,0,0.315,328.9,0,0,0
39,-2.1,-29.9,-0.480,1,0.252,4.121,1.880,0,0.252,330.7,0,0,0
40,0.2,-30.6,-0.483,1,0.240,4.091,1.865,0,0.240,332.9,0,0,0
41,2.5,-31.2,-0.600,1,0.254,4.064,1.855,0,0.254,334.7,0,0,0
42,4.6,-31.9,-0.600,1,0.262,4.042,1.851,0,0.262,336.8,0,0,0
43,6.9,-32.5,-0.600,1,0.243,4.021,1.848,0,0.243,338.3,0,0,0
44,9.2,-33.0,-0.531,1,0.227,3.999,1.846,0,0.227,338.3,0,0,0
