step,bear_target,bear_other,w_cmd,on_target
1,-16.0,17.4,-0.120,1
2,-16.0,18.4,-0.240,1
3,-15.6,19.3,-0.159,1
4,-15.0,20.3,-0.048,1
5,-14.5,21.2,-0.007,1
6,-14.1,22.1,0.113,1
7,-13.9,22.8,0.184,1
8,-13.7,23.5,0.213,1
9,-13.6,24.2,0.093,1
10,-13.6,24.8,0.054,1
11,-13.7,25.3,0.045,1
12,-13.8,25.9,-0.011,1
13,-14.0,26.3,-0.125,1
14,-14.2,26.8,-0.094,1
15,-14.4,27.3,-0.131,1
16,-14.5,27.7,-0.148,1
17,-14.7,28.3,-0.247,1
18,-14.9,28.8,-0.297,1
19,-15.0,29.4,-0.177,1
20,-15.2,30.0,-0.057,1
21,-15.3,30.7,-0.042,1
22,-15.6,31.2,0.005,1
23,-15.9,31.8,-0.090,1
24,-16.2,32.4,-0.133,1
25,-16.6,33.0,-0.141,1
26,-17.1,33.7,-0.208,1
27,-17.6,34.3,-0.194,1
28,-18.2,35.0,-0.217,1
29,-18.8,35.7,-0.097,1
30,-19.5,36.5,-0.092,1
31,-20.3,37.2,-0.212,1
32,-21.1,37.8,-0.253,1
33,-22.0,38.1,-0.363,1
34,-22.9,38.4,-0.413,1
35,-23.7,38.9,-0.349,1
36,-24.4,39.4,-0.373,1
37,-25.2,39.7,-0.406,1
38,-26.1,39.8,-0.348,1
39,-27.0,39.8,-0.331,1
40,-28.0,39.4,-0.278,1
41,-29.1,38.8,-0.301,1
42,-30.2,37.9,-0.270,1
43,-31.4,36.9,-0.303,1
44,-32.5,35.6,-0.233,1
45,-33.7,34.1,-0.272,1
46,-35.0,32.4,-0.266,0
47,-36.2,30.6,-0.242,0
48,-37.5,28.7,-0.278,0
49,-38.8,26.7,-0.158,0
50,-40.0,24.7,-0.038,0
51,-41.4,22.7,0.082,0
52,-42.8,20.7,0.202,0
53,-44.3,18.7,0.082,0
54,-45.7,16.6,-0.038,0
55,-47.2,14.7,-0.158,0
56,-48.6,12.7,-0.278,0
57,-50.0,10.8,-0.398,0
58,-51.3,9.0,-0.518,0
59,-52.5,7.3,-0.600,0
60,-53.5,5.9,-0.600,0
61,-54.4,4.6,-0.600,0
62,-55.0,3.4,-0.600,0
