step,bear_target,bear_other,w_cmd,on_target
1,-22.1,13.7,-0.120,0
2,-22.5,13.7,-0.235,0
3,-22.8,13.8,-0.263,0
4,-23.0,14.0,-0.241,0
5,-23.2,14.5,-0.353,0
6,-23.2,15.0,-0.473,0
7,-22.9,15.8,-0.503,0
8,-22.4,16.9,-0.396,0
9,-21.8,18.1,-0.441,0
10,-21.0,19.6,-0.351,0
11,-20.3,20.9,-0.328,1
12,-19.6,22.2,-0.432,1
13,-19.0,23.4,-0.312,1
14,-18.3,24.7,-0.256,1
15,-18.0,25.7,-0.230,1
16,-17.9,26.4,-0.172,1
17,-17.9,27.2,-0.128,1
18,-17.9,27.9,-0.008,1
19,-18.1,28.5,0.012,1
20,-18.4,29.1,0.021,1
21,-18.8,29.6,0.030,1
22,-19.2,30.2,0.085,1
23,-19.6,30.8,0.008,1
24,-20.1,31.4,-0.006,1
25,-20.5,32.1,0.045,1
26,-20.9,32.9,0.011,1
27,-21.3,33.6,-0.075,1
28,-21.7,34.5,0.045,1
29,-22.0,35.5,0.165,1
30,-22.3,36.4,0.045,1
31,-22.9,37.2,0.023,1
32,-23.3,38.1,0.083,1
33,-23.6,39.1,0.055,1
34,-23.9,40.1,0.024,1
35,-24.1,41.1,-0.058,1
36,-24.1,42.2,-0.039,1
37,-23.9,43.4,0.020,1
38,-23.6,44.6,-0.100,1
39,-23.2,45.8,-0.220,1
40,-22.7,47.0,-0.340,1
41,-21.8,48.5,-0.460,1
42,-20.5,50.2,-0.491,1
43,-18.8,52.1,-0.536,1
44,-16.7,54.4,-0.562,1
45,-14.3,56.9,-0.562,1
46,-11.7,59.5,-0.574,1
47,-9.1,62.0,-0.550,1
48,-6.6,64.4,-0.430,1
49,-3.9,67.0,-0.310,1
50,-1.2,69.6,-0.190,1
51,1.2,71.9,-0.070,1
52,3.2,73.9,0.050,1
53,4.7,75.3,0.128,1
54,6.0,76.6,0.140,1
55,7.2,77.7,0.127,1
56,8.3,78.8,0.135,1
57,9.6,80.1,0.127,1
58,10.7,81.2,0.247,1
59,11.9,82.3,0.288,1
60,13.0,83.4,0.257,1
61,13.9,84.4,0.271,1
62,14.9,85.3,0.234,1
63,16.0,86.4,0.296,1
64,17.0,87.4,0.375,1
65,17.9,88.4,0.346,1
66,18.6,89.2,0.366,1
67,19.3,89.9,0.369,1
68,20.0,90.7,0.489,1
69,20.8,91.5,0.600,1
70,21.4,92.2,0.600,1
71,21.9,92.8,0.600,1
72,22.2,93.2,0.600,1
73,22.2,93.4,0.600,1
74,22.2,93.5,0.600,1
75,22.4,93.9,0.571,1
76,22.7,94.3,0.495,1
77,23.1,94.9,0.492,1
78,23.6,95.6,0.544,1
79,24.3,96.5,0.519,1
80,24.8,97.2,0.600,1
81,25.2,97.8,0.600,1
82,25.6,98.5,0.600,1
83,26.0,99.1,0.594,1
84,26.4,99.7,0.600,1
85,26.9,100.5,0.600,1
86,27.5,101.4,0.600,1
87,28.3,102.5,0.600,1
88,29.2,103.6,0.485,1
89,30.0,103.7,0.555,1
90,30.8,103.4,0.534,1
91,31.7,103.1,0.522,1
92,32.6,102.9,0.452,1
93,33.6,102.7,0.518,1
94,34.7,102.6,0.530,1
95,35.7,102.5,0.545,1
96,36.6,102.3,0.523,1
97,37.5,102.1,0.567,1
98,38.5,101.9,0.447,1
99,39.4,101.7,0.327,1
100,40.3,101.6,0.447,1
101,41.3,101.6,0.567,1
102,42.2,101.5,0.600,1
103,43.1,101.4,0.600,1
104,43.9,101.1,0.600,1
105,44.6,100.8,0.600,1
106,45.4,100.6,0.600,1
107,46.0,100.4,0.600,1
108,46.9,100.3,0.480,1
109,47.5,100.1,0.360,1
110,48.1,100.1,0.240,1
111,48.9,100.1,0.120,1
112,49.7,100.1,0.000,1
113,50.5,100.0,-0.120,1
114,51.3,100.1,-0.240,1
115,52.1,100.1,-0.360,1
116,52.9,100.1,-0.480,1
117,53.7,100.2,-0.600,1
118,54.6,100.3,-0.600,1
119,55.5,100.5,-0.600,1
120,56.4,100.7,-0.600,1
121,57.3,100.9,-0.600,1
122,58.3,101.2,-0.600,1
123,59.2,101.4,-0.600,1
124,60.1,101.6,-0.600,1
125,61.0,101.9,-0.600,1
126,62.0,102.1,-0.600,1
127,62.9,102.4,-0.600,1
128,63.8,102.5,-0.600,1
129,64.7,102.7,-0.600,1
130,65.6,103.0,-0.600,1
131,66.5,103.2,-0.600,1
132,67.5,103.6,-0.600,1
133,68.4,103.9,-0.600,1
134,69.4,104.1,-0.600,1
135,70.4,104.5,-0.600,1
136,71.4,104.8,-0.600,1
137,72.5,105.2,-0.600,1
138,73.7,105.7,-0.600,1
139,75.0,106.3,-0.600,1
140,76.4,106.8,-0.600,1
141,77.9,107.7,-0.600,1
142,79.3,108.5,-0.600,1
143,80.9,109.2,-0.600,1
144,82.5,110.1,-0.600,1
145,84.3,111.2,-0.600,1
146,86.2,112.2,-0.600,1
147,88.2,113.5,-0.600,1
148,90.1,114.6,-0.600,1
149,92.2,116.0,-0.600,1
150,94.3,117.4,-0.600,1
151,96.5,118.6,-0.600,1
152,98.6,120.0,-0.600,1
153,100.8,121.6,-0.600,1
154,102.9,122.8,-0.600,1
155,105.1,124.3,-0.600,1
156,107.1,125.6,-0.600,1
157,108.9,126.6,-0.600,1
158,110.5,127.6,-0.600,1
159,112.1,128.5,-0.600,1
160,113.8,129.6,-0.600,1
161,115.4,130.5,-0.600,1
162,117.1,131.4,-0.600,1
163,119.0,132.6,-0.600,1
164,120.9,133.9,-0.600,1
165,123.2,135.4,-0.600,1
166,125.3,136.9,-0.600,1
167,127.5,138.4,-0.600,1
168,130.0,140.2,-0.600,1
169,132.7,142.2,-0.600,1
170,135.6,144.4,-0.600,1
171,138.2,146.4,-0.600,1
172,141.0,148.5,-0.600,1
173,143.5,150.4,-0.600,1
174,145.8,152.0,-0.600,1
175,147.8,153.3,-0.600,1
176,149.6,154.4,-0.600,1
177,151.3,155.5,-0.600,1
178,153.3,156.9,-0.600,1
179,155.3,158.1,-0.600,1
180,157.1,159.4,-0.600,1
181,159.3,160.9,-0.600,1
182,161.4,162.4,-0.600,1
183,163.6,163.9,-0.600,1
184,165.8,165.4,-0.600,0
185,167.7,166.8,-0.600,0
186,169.6,168.1,-0.600,0
187,171.5,169.4,-0.600,0
188,173.6,170.8,-0.600,0
189,175.7,172.3,-0.600,0
190,177.7,173.7,-0.600,0
191,179.7,175.1,-0.600,0
192,-178.6,176.0,-0.600,0
193,-177.1,176.9,-0.600,0
194,-175.4,177.7,-0.600,1
195,-173.7,178.7,-0.600,1
196,-172.2,179.6,-0.600,1
197,-170.7,-179.6,-0.600,1
198,-168.9,-178.5,-0.600,1
199,-167.4,-177.7,-0.600,1
200,-165.8,-176.7,-0.600,1
201,-164.1,-175.7,-0.600,1
202,-162.3,-174.6,-0.600,1
203,-160.6,-173.5,-0.600,1
204,-159.1,-172.6,-0.600,1
205,-157.6,-171.7,-0.600,1
206,-155.8,-170.7,-0.600,1
207,-154.0,-169.4,-0.600,1
208,-152.5,-168.5,-0.600,1
209,-150.7,-167.5,-0.600,1
210,-149.0,-166.4,-0.600,1
211,-147.3,-165.4,-0.600,1
212,-145.5,-164.3,-0.600,1
213,-143.7,-163.2,-0.600,1
214,-141.8,-161.9,-0.600,1
215,-140.1,-160.9,-0.600,1
216,-138.2,-159.9,-0.600,1
217,-136.3,-158.6,-0.600,1
218,-134.2,-157.2,-0.600,1
219,-132.2,-155.8,-0.600,1
220,-130.4,-154.7,-0.600,1
221,-128.7,-153.6,-0.600,1
222,-127.0,-152.6,-0.600,1
223,-125.4,-151.7,-0.600,1
224,-123.6,-150.6,-0.600,1
225,-121.9,-149.1,-0.600,1
226,-120.1,-147.9,-0.600,1
227,-118.3,-146.7,-0.600,1
228,-116.5,-145.6,-0.600,1
229,-114.9,-144.6,-0.600,1
230,-113.2,-143.6,-0.600,1
231,-112.1,-142.5,-0.600,1
232,-111.0,-141.3,-0.600,1
233,-110.0,-140.3,-0.600,1
234,-109.0,-139.3,-0.600,1
235,-107.8,-137.9,-0.600,1
236,-106.7,-136.8,-0.600,1
237,-105.5,-135.5,-0.600,1
238,-104.3,-134.3,-0.600,1
239,-103.1,-132.9,-0.600,1
240,-101.8,-131.4,-0.600,1
241,-99.3,-130.0,-0.600,1
242,-97.2,-128.8,-0.600,1
243,-95.1,-127.6,-0.600,1
244,-93.1,-126.4,-0.600,1
245,-91.1,-125.1,-0.600,1
246,-89.1,-123.8,-0.600,1
247,-87.2,-122.6,-0.600,1
248,-85.7,-121.5,-0.600,1
249,-84.0,-120.5,-0.600,1
250,-81.9,-119.0,-0.600,1
251,-79.2,-117.1,-0.600,1
252,-76.4,-115.1,-0.600,1
253,-73.5,-113.1,-0.600,1
254,-71.0,-111.6,-0.600,1
255,-69.1,-110.5,-0.600,1
256,-67.5,-110.0,-0.600,1
257,-65.8,-109.4,-0.600,1
258,-64.1,-108.8,-0.600,1
259,-62.4,-108.3,-0.600,1
260,-60.6,-107.7,-0.600,1
261,-58.4,-106.8,-0.480,1
262,-56.2,-105.9,-0.360,1
263,-54.3,-105.4,-0.240,1
264,-52.4,-104.9,-0.120,1
265,-50.6,-104.4,0.000,1
266,-48.9,-104.2,0.120,1
267,-47.4,-104.1,0.240,1
268,-46.1,-104.2,0.360,1
269,-45.1,-104.7,0.480,1
270,-44.2,-105.3,0.600,1
271,-43.8,-106.4,0.480,1
272,-43.7,-107.7,0.600,1
273,-43.2,-108.8,0.600,1
274,-42.9,-110.1,0.600,1
275,-42.9,-112.0,0.600,1
276,-42.2,-112.7,0.600,1
277,-41.2,-113.3,0.600,1
278,-40.4,-114.2,0.480,1
279,-39.2,-114.8,0.360,1
280,-37.9,-115.2,0.240,1
281,-36.5,-116.0,0.120,1
282,-35.0,-116.3,0.000,1
283,-33.3,-116.5,-0.120,1
284,-31.4,-116.5,-0.240,1
285,-29.3,-116.3,-0.360,1
286,-27.1,-116.1,-0.436,1
287,-24.7,-115.6,-0.316,1
288,-22.2,-115.0,-0.436,1
289,-19.6,-114.2,-0.506,1
290,-16.8,-113.2,-0.450,1
291,-13.8,-112.0,-0.444,1
292,-11.0,-111.0,-0.324,1
293,-8.3,-110.3,-0.274,1
294,-5.6,-109.5,-0.240,1
295,-3.2,-109.0,-0.193,1
296,-0.9,-108.5,-0.121,1
297,1.3,-108.2,-0.035,1
298,3.3,-108.0,0.034,1
299,5.3,-107.8,0.154,1
300,7.1,-107.8,0.274,1
301,8.9,-107.9,0.394,1
302,10.4,-108.2,0.514,1
303,11.7,-108.7,0.600,1
304,12.8,-109.4,0.600,1
305,13.8,-110.2,0.600,1
306,15.0,-110.9,0.600,1
307,16.2,-111.6,0.600,1
308,17.2,-112.6,0.540,1
309,18.1,-113.4,0.512,1
310,19.3,-114.0,0.458,1
311,20.5,-114.5,0.475,1
312,22.0,-114.8,0.470,1
313,23.3,-115.2,0.465,1
314,24.7,-115.6,0.526,1
315,26.1,-115.9,0.600,1
316,27.3,-116.4,0.600,1
317,28.6,-116.7,0.600,1
318,29.9,-117.2,0.600,1
319,31.0,-117.8,0.600,1
320,32.3,-118.3,0.600,1
321,33.5,-118.9,0.600,1
322,34.7,-119.5,0.600,1
323,36.1,-120.0,0.600,1
324,37.4,-120.6,0.600,1
325,38.6,-121.4,0.522,1
326,39.7,-122.2,0.600,1
327,40.8,-122.9,0.600,1
328,41.9,-123.7,0.600,1
329,43.0,-124.4,0.600,1
330,44.0,-125.1,0.600,1
331,45.1,-125.7,0.600,1
332,46.0,-126.6,0.600,1
333,46.4,-127.9,0.600,1
334,46.8,-129.3,0.600,1
335,47.1,-130.7,0.600,1
336,47.6,-132.0,0.600,1
337,48.1,-133.0,0.600,1
338,48.7,-134.0,0.600,1
339,49.2,-135.0,0.600,1
340,49.9,-136.0,0.600,1
341,50.6,-136.7,0.600,1
342,51.3,-137.3,0.600,1
343,52.1,-137.9,0.600,1
344,52.8,-138.5,0.600,1
345,53.6,-139.1,0.600,1
346,54.3,-139.5,0.600,1
347,54.9,-140.1,0.600,1
348,55.6,-140.6,0.600,1
349,56.2,-141.0,0.600,1
350,56.8,-141.5,0.600,1
351,57.1,-142.2,0.600,1
352,57.7,-142.7,0.600,1
353,58.2,-143.1,0.600,1
354,58.6,-143.6,0.600,1
355,59.0,-144.2,0.600,1
356,59.3,-144.7,0.600,1
357,59.3,-145.3,0.600,1
358,58.8,-145.9,0.600,1
359,58.2,-146.5,0.600,1
360,57.5,-147.2,0.600,1
361,56.7,-148.0,0.600,1
362,56.0,-148.6,0.600,1
363,55.1,-149.5,0.600,1
364,53.9,-150.6,0.600,1
365,52.8,-151.6,0.600,1
366,51.9,-152.5,0.600,1
367,51.0,-153.0,0.600,1
368,50.2,-153.7,0.480,1
369,49.4,-154.5,0.360,1
370,48.5,-155.3,0.240,1
371,47.8,-155.9,0.120,1
372,47.4,-156.2,0.000,1
373,47.2,-156.3,-0.120,1
374,47.2,-156.3,-0.240,1
375,47.4,-156.2,-0.360,1
376,47.6,-156.0,-0.480,1
377,48.1,-155.6,-0.600,1
378,48.7,-155.0,-0.600,1
379,49.5,-154.2,-0.600,1
380,50.7,-153.5,-0.600,1
381,52.2,-152.7,-0.600,1
382,53.6,-151.9,-0.600,1
383,54.9,-151.0,-0.600,1
384,56.2,-150.2,-0.600,1
385,57.4,-149.3,-0.600,1
386,58.5,-148.3,-0.600,1
387,59.5,-147.5,-0.600,1
388,60.4,-146.6,-0.600,1
389,61.1,-145.8,-0.600,1
390,61.6,-145.0,-0.600,1
391,61.8,-144.2,-0.600,1
392,61.9,-143.7,-0.600,1
393,61.8,-143.2,-0.600,1
394,61.6,-142.7,-0.600,1
395,61.3,-142.4,-0.600,1
396,60.9,-142.0,-0.600,1
397,60.4,-141.6,-0.600,1
398,59.9,-141.0,-0.600,1
399,59.5,-140.4,-0.600,1
400,59.1,-139.7,-0.600,1
401,58.5,-139.1,-0.600,1
402,57.9,-138.5,-0.600,1
403,57.3,-137.9,-0.600,1
404,56.6,-137.1,-0.600,1
405,55.9,-136.5,-0.600,1
406,55.1,-135.9,-0.600,1
407,54.4,-135.1,-0.600,1
408,53.7,-134.3,-0.480,1
409,53.1,-133.5,-0.600,1
410,52.4,-132.7,-0.480,1
411,51.7,-131.9,-0.360,1
412,50.9,-131.1,-0.240,1
413,49.9,-130.7,-0.360,1
414,48.6,-130.6,-0.240,1
415,47.3,-130.4,-0.120,1
416,46.0,-130.4,0.000,1
417,44.5,-130.4,0.120,1
418,43.0,-130.4,0.000,1
419,41.5,-130.4,-0.120,1
420,40.1,-130.4,0.000,1
421,38.6,-130.4,0.120,1
422,37.2,-130.4,0.240,1
423,35.6,-130.4,0.360,1
424,34.0,-130.4,0.480,1
425,32.3,-130.6,0.600,1
426,30.3,-131.1,0.600,1
427,28.2,-131.8,0.600,1
428,26.0,-132.7,0.600,1
429,23.7,-133.5,0.536,1
430,21.5,-134.3,0.416,1
431,19.6,-134.9,0.378,1
432,17.8,-135.2,0.370,1
433,16.2,-135.5,0.420,1
434,14.6,-135.9,0.445,1
435,13.0,-136.1,0.325,1
436,11.5,-136.3,0.445,1
437,10.0,-136.4,0.565,1
438,8.4,-136.6,0.445,1
439,6.7,-136.9,0.325,1
440,5.0,-137.2,0.205,1
441,3.4,-137.4,0.085,1
442,2.0,-137.5,0.000,1
443,0.6,-137.3,0.018,1
444,-0.8,-137.4,0.038,1
445,-2.1,-137.4,0.008,1
446,-3.5,-137.4,-0.001,1
447,-4.8,-137.4,-0.062,1
448,-6.1,-137.4,-0.182,1
449,-7.5,-137.4,-0.302,1
450,-8.8,-137.3,-0.362,1
451,-10.0,-137.2,-0.369,1
452,-11.2,-137.3,-0.271,1
453,-12.4,-137.2,-0.347,1
454,-13.7,-137.1,-0.268,1
455,-14.9,-137.1,-0.215,1
456,-16.1,-137.0,-0.157,1
457,-17.4,-137.0,-0.138,1
458,-18.7,-136.9,-0.258,1
459,-19.9,-136.9,-0.378,1
460,-21.2,-136.8,-0.498,1
461,-22.6,-136.5,-0.568,1
462,-23.5,-136.4,-0.600,1
463,-24.5,-136.0,-0.548,1
464,-25.4,-135.6,-0.491,1
465,-26.3,-135.1,-0.522,1
466,-27.3,-134.8,-0.538,1
467,-28.3,-134.4,-0.418,1
468,-29.3,-134.0,-0.538,1
469,-30.3,-133.6,-0.600,1
470,-31.3,-133.2,-0.600,1
471,-32.1,-132.6,-0.600,1
472,-32.7,-131.9,-0.600,1
473,-33.3,-131.0,-0.569,1
474,-33.9,-130.1,-0.549,1
475,-34.4,-129.2,-0.511,1
476,-34.9,-128.4,-0.472,1
477,-35.5,-127.5,-0.434,1
478,-36.2,-126.9,-0.554,1
479,-36.9,-126.2,-0.600,1
480,-37.5,-125.5,-0.600,1
481,-38.1,-124.8,-0.600,1
482,-38.8,-124.2,-0.600,1
483,-39.5,-123.6,-0.600,1
484,-40.0,-122.8,-0.600,1
485,-40.6,-122.0,-0.600,1
486,-41.3,-121.4,-0.600,1
487,-41.9,-120.7,-0.600,1
488,-42.4,-120.0,-0.600,1
489,-42.5,-118.7,-0.600,1
490,-42.6,-117.5,-0.600,1
491,-42.2,-116.0,-0.600,1
492,-41.6,-114.2,-0.600,1
493,-40.8,-112.2,-0.600,1
494,-40.0,-110.1,-0.600,1
495,-39.4,-108.4,-0.600,1
496,-39.2,-107.0,-0.600,1
497,-39.0,-105.8,-0.600,1
498,-38.9,-104.5,-0.600,1
499,-38.2,-103.1,-0.600,1
500,-36.3,-101.2,-0.600,1
501,-34.4,-99.2,-0.600,1
502,-32.8,-97.6,-0.600,1
503,-31.0,-95.8,-0.600,1
504,-29.4,-94.2,-0.600,1
505,-27.7,-92.5,-0.600,1
506,-25.7,-90.5,-0.600,1
507,-23.7,-88.6,-0.600,1
508,-21.6,-86.5,-0.480,1
509,-19.3,-84.3,-0.360,1
510,-17.1,-82.1,-0.281,1
511,-15.3,-80.3,-0.341,1
512,-13.8,-78.8,-0.386,1
513,-12.6,-77.6,-0.375,1
514,-11.3,-76.3,-0.381,1
515,-9.9,-75.0,-0.388,1
516,-8.6,-73.5,-0.343,1
517,-7.4,-72.3,-0.344,1
518,-6.4,-71.3,-0.224,1
519,-5.5,-70.4,-0.143,1
520,-4.8,-69.7,-0.070,1
521,-4.4,-69.3,-0.111,1
522,-3.9,-68.9,-0.140,1
523,-3.7,-68.7,-0.215,1
524,-3.4,-68.4,-0.232,1
525,-3.0,-68.2,-0.307,1
526,-2.6,-67.8,-0.333,1
527,-2.0,-67.2,-0.378,1
528,-1.3,-66.5,-0.258,1
529,-0.5,-65.8,-0.138,1
530,0.3,-65.1,-0.084,1
531,0.7,-64.6,-0.076,1
532,1.0,-64.3,-0.099,1
533,1.2,-64.2,-0.122,1
534,1.6,-63.9,-0.081,1
535,2.1,-63.7,-0.139,1
536,2.6,-63.5,-0.210,1
537,3.3,-63.4,-0.182,1
538,4.2,-63.1,-0.062,1
539,5.2,-62.8,0.016,1
540,6.3,-62.6,-0.014,1
541,7.1,-62.6,-0.041,1
542,8.1,-62.6,0.075,1
543,9.1,-62.7,0.169,1
544,10.1,-62.8,0.227,1
545,10.9,-63.0,0.234,1
546,11.7,-63.2,0.189,1
547,12.4,-63.5,0.207,1
548,13.1,-63.8,0.268,1
549,13.9,-64.1,0.340,1
550,14.7,-64.4,0.369,1
551,15.2,-64.9,0.369,1
552,15.6,-65.3,0.435,1
553,16.0,-66.0,0.315,1
554,16.2,-66.9,0.241,1
555,16.7,-67.4,0.180,1
556,17.5,-67.7,0.206,1
557,18.4,-67.9,0.101,1
558,19.3,-68.0,0.221,1
559,20.3,-68.1,0.341,1
560,21.2,-68.3,0.461,1
561,21.9,-68.9,0.516,1
562,22.5,-69.4,0.542,1
563,22.8,-70.2,0.490,1
564,23.2,-70.9,0.448,1
565,23.7,-71.5,0.493,1
566,24.3,-72.0,0.456,1
567,24.8,-72.5,0.362,1
568,25.3,-73.2,0.482,1
569,25.8,-73.7,0.593,1
570,26.3,-74.0,0.600,1
571,26.5,-74.9,0.589,1
572,26.6,-75.9,0.600,1
573,26.5,-77.0,0.600,1
574,26.4,-78.1,0.600,1
575,26.3,-79.2,0.600,1
576,26.2,-80.3,0.600,1
577,26.1,-81.4,0.600,1
578,26.0,-82.5,0.600,1
579,26.1,-83.4,0.600,1
580,26.4,-84.1,0.600,1
581,26.9,-84.7,0.600,1
582,27.4,-85.2,0.585,1
583,28.0,-85.6,0.503,1
584,28.8,-85.7,0.456,1
585,29.6,-85.9,0.451,1
586,30.5,-86.1,0.492,1
587,31.4,-86.2,0.489,1
588,32.3,-86.4,0.600,1
589,33.1,-86.6,0.600,1
590,33.9,-86.9,0.600,1
591,34.6,-87.2,0.600,1
592,35.3,-87.6,0.600,1
593,35.8,-88.3,0.600,1
594,36.4,-88.7,0.600,1
595,37.1,-89.1,0.600,1
596,37.8,-89.4,0.600,1
597,38.5,-89.7,0.600,1
598,39.1,-90.1,0.600,1
599,39.7,-90.6,0.600,1
600,40.3,-91.0,0.600,1
601,40.9,-91.5,0.600,1
602,41.4,-91.8,0.600,1
603,41.8,-92.4,0.600,1
604,42.3,-93.0,0.480,1
605,42.9,-93.5,0.360,1
606,43.5,-93.9,0.240,1
607,44.3,-94.1,0.295,1
608,45.2,-94.2,0.415,1
609,46.2,-94.3,0.295,1
610,47.0,-94.5,0.175,1
611,47.9,-94.8,0.055,1
612,48.9,-94.9,-0.065,1
613,49.9,-94.9,-0.185,1
614,50.9,-94.9,-0.305,1
615,52.0,-94.8,-0.425,1
616,53.2,-94.7,-0.545,1
617,54.5,-94.3,-0.600,1
618,55.9,-93.9,-0.600,1
619,57.6,-93.2,-0.600,1
620,59.2,-92.4,-0.600,1
621,60.7,-91.9,-0.600,1
622,62.0,-91.5,-0.600,1
623,63.3,-91.3,-0.600,1
624,64.6,-90.9,-0.600,1
625,66.0,-90.6,-0.600,1
626,67.5,-90.1,-0.600,1
627,68.9,-89.7,-0.600,1
628,70.3,-89.2,-0.600,1
629,71.9,-88.7,-0.600,1
630,73.4,-88.1,-0.600,1
631,74.2,-87.5,-0.600,1
632,74.7,-87.0,-0.600,1
633,75.2,-86.5,-0.600,1
634,75.7,-85.9,-0.600,1
635,76.1,-85.5,-0.600,1
636,76.5,-85.0,-0.600,1
637,77.0,-84.5,-0.600,1
638,77.4,-84.1,-0.600,1
639,77.8,-83.7,-0.600,1
640,78.3,-83.3,-0.600,1
641,79.0,-82.6,-0.600,1
642,79.6,-82.0,-0.600,1
643,80.2,-81.4,-0.600,1
644,82.3,-79.5,-0.600,0
645,87.6,-73.8,-0.600,0
646,90.2,-70.9,-0.600,0
647,93.8,-67.4,-0.600,0
648,95.7,-65.5,-0.600,0
649,97.0,-64.2,-0.600,0
650,98.0,-63.3,-0.600,0
651,98.9,-62.4,-0.600,0
652,99.9,-61.5,-0.600,0
653,101.2,-60.3,-0.600,0
654,102.6,-59.0,-0.600,0
655,103.9,-57.8,-0.600,0
656,105.2,-56.5,-0.600,0
657,106.6,-54.8,-0.600,0
658,107.9,-53.4,-0.600,0
659,109.0,-51.9,-0.600,0
660,110.1,-50.2,-0.600,0
661,111.2,-48.4,-0.600,0
662,112.4,-46.6,-0.600,0
663,113.6,-44.6,-0.600,0
664,114.8,-42.6,-0.600,0
665,116.0,-40.6,-0.600,0
666,117.1,-38.6,-0.600,0
667,118.1,-36.7,-0.600,0
668,119.2,-34.7,-0.600,0
669,120.4,-32.7,-0.600,0
670,121.3,-30.8,-0.600,0
671,122.1,-29.1,-0.600,0
672,122.9,-27.4,-0.600,0
673,123.9,-25.6,-0.600,0
674,124.9,-23.8,-0.600,0
675,126.0,-21.8,-0.600,0
676,127.2,-19.8,-0.600,0
677,128.4,-17.8,-0.600,0
678,129.6,-15.7,-0.600,0
679,131.0,-13.6,-0.600,0
680,132.2,-11.6,-0.600,0
681,133.4,-9.6,-0.600,0
682,134.4,-9.4,-0.600,0
683,135.2,-9.6,-0.600,0
684,135.2,-10.0,-0.600,0
685,135.0,-10.2,-0.600,0
