step,bear_target,bear_other,w_cmd,on_target
1,-15.6,14.6,-0.113,0
2,-15.1,13.9,-0.137,0
3,-14.5,13.3,-0.085,0
4,-13.8,13.1,-0.092,0
5,-13.2,13.1,-0.097,0
6,-13.0,13.3,-0.097,1
7,-12.8,13.5,-0.062,1
8,-12.6,13.7,-0.072,1
9,-12.5,13.8,-0.051,1
10,-12.3,14.0,-0.100,1
11,-12.2,14.1,-0.002,1
12,-12.0,14.3,0.118,1
13,-12.0,14.3,0.069,1
14,-12.1,14.2,0.042,1
15,-12.5,14.7,0.085,1
16,-12.9,15.2,0.140,1
17,-13.2,15.7,0.070,1
18,-13.5,15.9,0.126,1
19,-13.7,16.0,0.037,1
20,-14.0,16.1,0.044,1
21,-14.1,16.3,0.035,1
22,-14.4,16.5,0.062,1
23,-14.5,16.6,0.092,1
24,-14.8,16.8,0.102,1
25,-15.1,17.0,0.092,1
26,-15.3,17.3,0.055,1
27,-15.6,17.8,0.066,1
28,-15.8,18.5,0.120,1
29,-16.1,19.2,0.240,1
30,-16.5,20.0,0.260,1
31,-17.0,20.8,0.314,1
32,-17.6,21.8,0.341,1
33,-18.2,23.0,0.296,1
34,-19.2,24.0,0.315,1
35,-20.2,25.1,0.307,1
36,-21.4,26.1,0.307,1
37,-22.7,27.2,0.287,1
38,-23.9,28.6,0.300,1
39,-25.1,30.1,0.180,1
40,-26.4,31.6,0.113,1
41,-27.9,33.0,0.233,1
42,-29.2,34.7,0.353,1
43,-30.7,36.3,0.400,1
44,-32.5,37.8,0.288,1
45,-34.3,39.3,0.242,1
46,-36.1,40.8,0.198,1
47,-37.9,42.4,0.146,1
48,-39.7,44.1,0.222,1
49,-41.3,45.9,0.342,1
50,-43.1,47.6,0.462,1
51,-44.9,49.4,0.582,1
52,-47.2,50.7,0.600,1
53,-49.6,51.9,0.600,1
54,-52.3,52.9,0.600,1
55,-54.9,53.9,0.600,0
56,-57.4,55.2,0.600,0
57,-59.7,56.5,0.600,0
58,-61.9,58.0,0.600,0
59,-63.9,59.7,0.600,0
60,-65.9,61.3,0.600,0
61,-68.0,62.9,0.600,0
62,-70.2,64.3,0.600,0
63,-72.5,65.7,0.600,0
64,-74.9,66.9,0.600,0
65,-77.1,68.4,0.600,0
66,-79.5,69.6,0.600,0
67,-82.0,70.7,0.600,0
68,-84.5,71.8,0.600,0
69,-87.0,72.9,0.600,0
70,-89.8,73.8,0.600,0
71,-92.6,74.6,0.600,0
72,-95.4,75.3,0.600,0
73,-98.3,76.0,0.600,0
74,-100.9,77.1,0.600,0
75,-102.6,79.0,0.600,0
76,-104.6,80.7,0.600,0
77,-106.8,82.0,0.600,0
78,-108.8,83.8,0.600,0
79,-110.5,85.6,0.480,0
80,-112.3,87.5,0.360,0
81,-113.9,89.5,0.240,0
82,-115.3,91.8,0.252,0
83,-116.7,94.0,0.132,0
84,-118.2,96.2,0.012,0
85,-119.6,98.4,-0.108,0
86,-120.9,100.7,-0.228,0
87,-122.2,103.1,-0.348,0
88,-123.4,105.5,-0.468,0
89,-124.5,108.1,-0.588,0
