step,bear_target,bear_other,w_cmd,on_target
1,17.1,-16.1,0.024,0
2,17.7,-16.5,-0.057,0
3,18.4,-17.1,-0.031,0
4,19.1,-17.7,0.052,0
5,19.8,-18.4,0.130,0
6,20.3,-19.4,0.129,0
7,20.9,-20.4,0.176,0
8,21.3,-21.3,0.223,0
9,21.7,-22.2,0.103,1
10,22.0,-23.2,-0.017,1
11,22.4,-23.9,-0.072,1
12,22.8,-24.5,-0.093,1
13,23.3,-25.0,-0.081,1
14,23.6,-25.4,-0.078,1
15,23.9,-25.7,-0.032,1
16,24.2,-25.8,0.012,1
17,24.3,-26.0,0.033,1
18,24.3,-26.1,0.041,1
19,24.2,-26.0,0.094,1
20,24.2,-26.0,0.130,1
21,24.2,-26.0,0.091,1
22,24.2,-26.1,0.067,1
23,24.3,-26.3,0.090,1
24,24.4,-26.5,0.111,1
25,24.6,-26.7,0.131,1
26,24.7,-27.1,0.116,1
27,24.8,-27.5,0.132,1
28,25.0,-27.9,0.104,1
29,25.2,-28.3,0.224,1
30,25.4,-28.7,0.192,1
31,25.6,-29.1,0.072,1
32,25.8,-29.4,0.074,1
33,26.1,-29.5,0.034,1
34,26.5,-29.4,0.051,1
35,26.9,-29.0,0.108,1
36,27.4,-28.4,0.088,1
37,28.0,-27.7,0.050,0
38,28.5,-26.8,0.160,0
39,29.1,-25.6,0.040,0
40,29.8,-24.2,-0.080,0
41,30.4,-22.7,-0.033,0
42,31.3,-20.9,0.028,0
43,32.2,-18.9,0.112,0
44,33.2,-16.9,0.198,0
45,34.1,-14.9,0.216,0
46,34.9,-13.3,0.232,0
47,35.7,-12.9,0.287,0
48,36.4,-12.5,0.324,0
49,37.0,-12.2,0.204,0
50,37.6,-12.0,0.084,0
51,38.2,-11.8,0.039,0
52,39.0,-11.3,-0.030,0
53,39.9,-10.8,-0.123,0
54,41.0,-10.1,-0.171,0
55,42.2,-9.0,-0.178,0
56,43.5,-8.1,-0.149,0
57,44.9,-6.9,-0.172,0
58,46.2,-5.6,-0.160,0
59,47.6,-4.8,-0.040,0
60,48.9,-3.6,0.080,0
61,50.2,-2.4,0.178,0
62,51.4,-1.7,0.298,0
63,52.4,-0.8,0.416,0
64,53.3,-0.1,0.536,0
65,53.8,-0.0,0.484,0
66,54.2,0.2,0.404,0
67,54.4,0.2,0.392,0
68,54.6,-0.0,0.381,0
69,55.0,0.3,0.261,0
70,55.4,0.5,0.175,0
71,55.8,0.8,0.096,0
72,56.5,0.9,0.174,0
73,57.5,1.6,0.185,0
74,58.5,2.4,0.178,0
75,59.4,3.1,0.205,0
76,60.4,3.8,0.325,0
77,61.2,4.4,0.333,0
78,62.0,4.9,0.384,0
79,62.6,5.3,0.319,0
80,63.3,5.7,0.267,0
81,64.2,6.3,0.226,0
82,65.3,7.0,0.146,0
83,66.3,7.7,0.266,0
84,67.3,8.4,0.283,0
85,68.2,9.0,0.242,0
86,69.0,9.4,0.270,0
87,69.8,9.8,0.293,0
88,70.7,10.2,0.316,0
89,71.4,10.5,0.196,0
90,72.5,11.4,0.207,0
91,73.7,12.1,0.250,0
92,75.0,13.2,0.370,0
93,76.4,14.3,0.270,0
94,77.8,15.2,0.324,0
95,78.8,15.9,0.343,0
96,80.1,16.8,0.403,0
97,81.3,17.8,0.483,0
98,82.5,18.7,0.495,0
99,83.5,19.7,0.402,0
100,84.4,20.2,0.449,0
101,85.5,21.3,0.526,0
102,86.6,22.7,0.464,0
103,87.5,23.8,0.455,0
104,88.5,24.9,0.476,0
105,89.7,26.3,0.465,0
106,90.8,27.6,0.402,0
107,92.5,29.1,0.386,0
108,83.2,16.1,0.403,0
109,74.9,6.7,0.440,0
110,72.0,5.2,0.560,0
111,75.6,9.2,0.600,0
112,86.5,19.7,0.600,0
113,98.1,30.9,0.600,0
114,105.6,37.3,0.600,0
115,108.5,38.9,0.600,0
116,110.8,39.2,0.600,0
