step,bear_target,bear_other,w_cmd,on_target
1,14.2,-21.9,-0.120,1
2,14.4,-22.1,-0.142,1
3,14.7,-22.3,-0.108,1
4,15.0,-22.5,-0.072,1
5,15.4,-22.7,-0.178,1
6,15.7,-23.0,-0.058,1
7,16.0,-23.3,-0.044,1
8,16.3,-23.6,-0.035,1
9,16.5,-24.0,-0.054,1
10,16.7,-24.4,-0.047,1
11,17.0,-24.7,-0.050,1
12,17.4,-25.0,-0.060,1
13,17.7,-25.3,-0.049,1
14,18.0,-25.7,-0.058,1
15,18.3,-26.0,-0.133,1
16,18.7,-26.4,-0.175,1
17,19.1,-26.7,-0.152,1
18,19.7,-26.9,-0.092,1
19,20.4,-27.1,-0.060,1
20,21.0,-27.4,0.027,1
21,21.6,-27.8,-0.035,1
22,22.2,-28.3,0.006,1
23,22.9,-28.6,-0.010,1
24,23.6,-29.1,0.035,1
25,24.3,-29.5,0.155,1
26,25.1,-29.9,0.275,1
27,25.7,-30.5,0.362,1
28,26.2,-31.3,0.346,1
29,26.7,-32.1,0.331,1
30,27.3,-32.8,0.223,1
31,27.7,-33.7,0.221,1
32,28.4,-34.4,0.341,1
33,29.1,-34.9,0.409,1
34,29.7,-35.6,0.398,1
35,30.1,-36.2,0.518,1
36,30.4,-37.0,0.600,1
37,30.4,-37.8,0.600,1
38,30.0,-39.1,0.600,1
39,29.4,-40.3,0.600,1
40,29.6,-40.7,0.600,1
41,30.2,-40.6,0.600,1
42,30.8,-40.4,0.600,1
43,31.1,-40.3,0.600,1
44,31.9,-39.7,0.522,1
45,32.2,-39.4,0.513,1
46,32.6,-39.0,0.600,1
47,33.1,-38.6,0.600,1
48,33.4,-38.2,0.600,1
49,33.8,-37.8,0.600,1
50,34.4,-37.1,0.600,1
51,35.1,-36.3,0.600,1
52,36.0,-35.4,0.600,0
53,37.0,-34.4,0.600,0
54,37.8,-33.5,0.600,0
55,38.8,-32.5,0.600,0
56,39.8,-31.5,0.600,0
57,40.8,-30.5,0.600,0
58,41.7,-29.5,0.600,0
59,42.7,-28.5,0.600,0
60,43.9,-27.4,0.600,0
61,44.9,-26.4,0.600,0
62,45.9,-25.4,0.600,0
63,46.9,-24.4,0.600,0
64,47.9,-23.5,0.600,0
65,48.8,-22.6,0.600,0
66,49.8,-21.7,0.600,0
67,50.9,-20.7,0.600,0
68,51.9,-19.8,0.600,0
69,53.0,-18.8,0.600,0
70,53.9,-18.0,0.600,0
71,54.9,-17.1,0.600,0
72,55.9,-16.3,0.600,0
73,56.9,-15.4,0.600,0
74,57.9,-14.6,0.600,0
75,59.0,-13.7,0.600,0
76,59.7,-13.1,0.600,0
77,60.7,-12.3,0.600,0
78,61.7,-11.6,0.600,0
79,62.7,-10.8,0.600,0
80,63.8,-10.0,0.600,0
81,64.8,-9.2,0.600,0
82,65.7,-8.5,0.600,0
83,66.7,-7.9,0.600,0
84,67.7,-7.1,0.600,0
85,68.9,-6.2,0.600,0
86,69.9,-5.4,0.600,0
87,71.1,-4.6,0.600,0
88,72.3,-3.6,0.600,0
89,72.6,-2.7,0.600,0
90,72.1,-2.0,0.600,0
91,71.8,-1.2,0.600,0
92,71.4,-0.4,0.600,0
93,70.9,0.3,0.600,0
94,70.4,0.9,0.600,0
95,69.7,1.3,0.600,0
96,69.0,1.8,0.600,0
97,68.3,2.2,0.600,0
98,67.4,2.4,0.600,0
99,66.4,2.5,0.600,0
100,65.1,2.2,0.600,0
101,63.7,1.9,0.600,0
102,62.2,1.4,0.600,0
103,60.5,0.8,0.600,0
104,58.7,0.1,0.600,0
105,56.8,-0.9,0.600,0
106,55.0,-1.7,0.600,0
107,54.4,-1.4,0.600,0
108,53.8,-1.1,0.600,0
109,53.1,-0.9,0.600,0
110,52.5,-0.8,0.600,0
111,51.6,-0.9,0.600,0
112,50.9,-0.7,0.600,0
113,50.3,-0.4,0.600,0
114,49.8,-0.2,0.600,0
115,49.0,-0.2,0.600,0
116,48.3,-0.2,0.600,0
117,47.6,-0.1,0.600,0
118,46.8,-0.3,0.600,0
119,45.9,-0.4,0.600,0
120,44.9,-0.7,0.600,0
121,44.3,-0.7,0.600,0
122,43.6,-0.7,0.600,0
123,42.9,-0.7,0.600,0
124,42.1,-0.8,0.600,0
125,41.2,-1.1,0.600,0
126,40.3,-1.4,0.600,0
127,39.2,-1.7,0.600,0
128,38.1,-2.3,0.600,0
129,36.5,-3.1,0.600,0
130,35.4,-3.7,0.600,0
131,34.1,-4.4,0.600,0
132,32.9,-5.0,0.600,0
133,31.8,-5.5,0.600,0
134,30.4,-6.3,0.541,0
135,28.6,-7.4,0.600,0
