step,bear_target,bear_other,w_cmd,on_target
1,16.0,-18.2,0.120,1
2,16.7,-18.8,0.122,1
3,17.4,-19.5,0.172,1
4,17.9,-20.3,0.135,1
5,18.5,-21.2,0.082,1
6,19.1,-22.1,0.075,1
7,19.7,-23.0,0.083,1
8,20.2,-23.8,0.025,1
9,20.6,-24.6,0.125,1
10,21.1,-25.2,0.028,1
11,21.5,-25.9,0.105,1
12,21.9,-26.4,-0.001,1
13,22.1,-26.9,-0.005,1
14,22.3,-27.3,-0.079,1
15,22.5,-27.6,-0.092,1
16,22.6,-27.7,-0.179,1
17,22.7,-27.7,-0.140,1
18,22.8,-27.5,-0.193,1
19,22.8,-27.4,-0.073,1
20,23.0,-27.3,-0.088,1
21,23.2,-27.2,0.032,1
22,23.4,-27.3,0.046,1
23,23.6,-27.4,-0.002,1
24,23.7,-27.7,0.025,1
25,23.9,-27.9,0.088,1
26,24.2,-28.2,0.102,1
27,24.5,-28.5,0.074,1
28,24.7,-28.9,0.130,1
29,25.0,-29.3,0.057,1
30,25.3,-29.6,0.110,1
31,25.6,-29.8,0.122,1
32,26.0,-29.8,0.103,1
33,26.4,-29.6,0.058,1
34,26.8,-29.3,0.042,1
35,27.3,-28.8,-0.003,1
36,28.0,-27.9,0.099,0
37,28.5,-27.1,0.085,0
38,29.2,-25.9,0.091,0
39,29.9,-24.5,-0.029,0
40,30.6,-22.9,0.023,0
41,31.5,-21.1,-0.080,0
42,32.4,-19.2,0.040,0
43,33.4,-17.1,0.083,0
44,34.4,-15.0,0.078,0
45,35.4,-12.9,0.060,0
46,36.4,-12.0,0.111,0
47,37.4,-11.6,0.150,0
48,38.5,-11.0,0.174,0
49,39.5,-10.3,0.294,0
50,40.5,-9.7,0.414,0
51,41.5,-8.8,0.534,0
52,42.4,-8.3,0.600,0
53,43.1,-8.0,0.600,0
54,43.9,-7.3,0.600,0
55,44.7,-6.9,0.600,0
56,45.4,-6.7,0.600,0
57,46.1,-6.1,0.600,0
58,46.8,-5.6,0.600,0
59,47.5,-5.3,0.600,0
60,48.2,-4.8,0.600,0
61,49.0,-4.2,0.600,0
62,49.8,-3.5,0.600,0
63,50.7,-3.2,0.600,0
64,51.6,-2.4,0.600,0
65,52.6,-1.7,0.600,0
66,53.5,-1.0,0.600,0
67,54.4,-0.3,0.600,0
68,55.3,0.3,0.600,0
69,56.3,1.0,0.600,0
70,57.1,1.6,0.600,0
71,58.0,2.2,0.600,0
72,58.8,2.6,0.600,0
73,59.5,3.0,0.600,0
74,60.3,3.4,0.600,0
75,61.0,4.1,0.600,0
76,61.7,4.4,0.600,0
77,62.4,4.7,0.600,0
78,63.1,4.9,0.600,0
79,63.9,5.5,0.600,0
80,64.6,5.8,0.600,0
81,65.4,6.0,0.600,0
82,66.1,6.5,0.600,0
83,67.0,6.8,0.600,0
84,67.9,7.5,0.600,0
85,68.8,7.9,0.600,0
86,69.8,8.6,0.600,0
87,70.9,9.4,0.600,0
88,71.9,9.9,0.600,0
89,73.0,10.6,0.582,0
90,74.3,11.8,0.600,0
91,75.2,12.6,0.600,0
92,76.2,13.3,0.480,0
93,77.2,13.9,0.360,0
94,78.4,14.8,0.480,0
95,79.7,16.1,0.466,0
96,81.1,17.2,0.586,0
97,82.1,18.0,0.600,0
98,83.2,18.9,0.600,0
99,84.4,20.2,0.480,0
100,85.5,21.6,0.360,0
101,86.7,23.0,0.240,0
102,88.0,24.5,0.120,0
103,89.4,26.1,0.240,0
104,90.8,27.6,0.360,0
105,92.2,29.1,0.480,0
106,93.4,30.5,0.600,0
107,94.5,31.8,0.578,0
108,95.6,33.0,0.555,0
109,96.7,34.2,0.600,0
110,97.7,35.3,0.600,0
111,98.8,36.5,0.600,0
112,99.7,37.5,0.600,0
113,100.6,38.5,0.600,0
114,101.5,39.5,0.600,0
115,102.0,40.1,0.600,0
116,102.2,40.4,0.600,0
117,102.2,40.4,0.600,0
118,101.8,40.1,0.600,0
119,101.3,39.6,0.600,0
120,100.6,39.0,0.600,0
121,99.9,38.3,0.600,0
122,99.1,37.7,0.600,0
123,98.4,37.0,0.600,0
124,97.7,36.3,0.531,0
125,96.9,35.7,0.574,0
126,97.3,36.0,0.454,0
127,97.5,36.4,0.334,0
128,97.8,36.7,0.244,0
129,98.6,37.6,0.364,0
130,99.6,38.6,0.484,0
131,100.5,39.7,0.595,0
132,101.3,40.5,0.475,0
133,101.9,41.2,0.355,0
134,102.5,41.9,0.235,0
135,103.3,42.8,0.115,0
136,104.3,43.9,-0.005,0
137,105.5,45.1,-0.125,0
138,106.8,46.6,-0.245,0
139,108.3,48.2,-0.365,0
140,109.9,49.4,-0.485,0
141,111.6,50.0,-0.600,0
142,113.5,50.9,-0.600,0
143,116.0,52.2,-0.600,0
144,118.7,55.0,-0.600,0
145,121.4,57.7,-0.600,0
146,124.0,60.3,-0.600,0
147,126.1,62.3,-0.600,0
148,128.0,64.1,-0.600,0
149,130.4,66.3,-0.600,0
150,133.0,68.7,-0.600,0
151,135.6,71.0,-0.600,0
152,138.5,73.3,-0.600,0
153,141.3,74.8,-0.600,0
154,143.6,75.8,-0.600,0
155,145.9,76.8,-0.600,0
156,148.0,77.6,-0.600,0
157,150.2,78.4,-0.600,0
158,152.2,79.0,-0.600,0
159,154.5,80.0,-0.600,0
160,157.1,81.2,-0.600,0
161,159.7,82.5,-0.600,0
162,162.2,83.6,-0.600,0
163,164.5,84.5,-0.600,0
164,166.6,85.3,-0.600,0
165,168.7,86.0,-0.600,0
166,170.8,86.8,-0.600,0
167,172.8,87.4,-0.600,0
168,174.8,88.2,-0.600,0
